,ID,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,GENDER,DIPPERC,AGE,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
6,4627,protestant,zanner,latin philo,FD,NORD-KIVU,F,52.0,29,59.4000015259,G,G,1.0,G
7,4649,protestant,zanner,latin philo,FD,NORD-KIVU,F,53.0,26,60.5,G,G,1.0,G
8,4667,protestant,zanner,latin philo,FD,NORD-KIVU,H,52.0,29,68.2999992371,G,G,2.0,A
9,4670,protestant,zanner,latin philo,FD,NORD-KIVU,H,51.0,31,64.0499992371,G,G,2.0,A
10,4671,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,F,60.0,27,63.7999992371,G,G,2.0,A
11,4799,protestant,zanner,latin philo,FD,NORD-KIVU,H,52.0,27,43.0,G,A,1.0,G
12,4800,protestant,zanner,latin philo,FD,NORD-KIVU,H,51.0,28,59.6000003815,G,G,2.0,D
13,5051,protestant,zanner,latin philo,FD,NORD-KIVU,H,53.0,28,63.0500011445,G,G,2.0,D
21,7722,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,H,57.0,25,64.0,G,G,1.0,A
25,8345,protestant,zanner,latin philo,FD,NORD-KIVU,H,50.0,23,61.4333343506,G,G,3.0,G
27,8431,protestant,zanner,latin philo,FD,NORD-KIVU,H,59.0,25,49.9666671753,G,C,3.0,G
29,8922,protestant,zanner,latin philo,FD,NORD-KIVU,F,50.0,23,56.4666659037,G,G,3.0,G
33,9352,protestant,zanner,latin philo,FD,NORD-KIVU,H,55.0,23,63.3333320617,G,G,3.0,A
37,9582,protestant,zanner,latin philo,FD,NORD-KIVU,F,58.0,20,60.8666674296,G,G,3.0,E
39,9667,protestant,zanner,latin philo,FD,NORD-KIVU,F,51.0,22,59.633333842,G,G,3.0,G
41,9860,protestant,zanner,latin philo,FD,NORD-KIVU,H,52.0,22,55.5,G,G,1.0,G
44,9869,protestant,zanner,latin philo,FD,NORD-KIVU,F,52.0,22,58.0,G,G,2.0,D
46,9994,protestant,zanner,latin philo,FD,NORD-KIVU,F,53.0,21,62.5999984741,G,G,2.0,A
49,10032,protestant,zanner,latin philo,FD,NORD-KIVU,H,51.0,28,64.3500003815,G,G,2.0,G
54,10303,protestant,zanner,latin philo,FD,NORD-KIVU,F,51.0,23,57.9500007629,G,G,2.0,D
57,10478,protestant,zanner,latin philo,FD,NORD-KIVU,F,51.0,21,55.9500007629,G,G,2.0,G
59,10583,protestant,zanner,latin philo,FD,NORD-KIVU,F,51.0,21,58.3499984741,G,G,2.0,A
60,10604,protestant,zanner,latin philo,FD,NORD-KIVU,H,58.0,23,62.1499996185,G,G,2.0,G
61,10712,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,H,51.0,22,56.5,G,G,2.0,G
67,11382,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,H,51.0,20,57.0,G,G,1.0,A
69,11522,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,H,56.0,20,59.0999984741,G,G,1.0,A
73,11711,protestant,zanner,latin philo,FD,NORD-KIVU,H,58.0,20,60.7999992371,G,G,1.0,A
75,11730,protestant,zanner,latin philo,FD,NORD-KIVU,F,59.0,20,63.5,G,G,1.0,A
76,11986,protestant,zanner,latin philo,FD,NORD-KIVU,F,61.0,19,62.0999984741,G,G,1.0,A
88,5918,publique,mululusake,pedagogie,FD,NORD-KIVU,H,52.0,31,64.4000015259,G,G,1.0,G
111,9292,publique,ibanda,pedagogie,FD,SUD-KIVU,F,68.0,25,46.0,G,A,1.0,G
119,10702,publique,ibanda,pedagogie,FD,SUD-KIVU,H,65.0,25,41.0,G,A,1.0,G
120,10823,publique,ibanda,pedagogie,FD,SUD-KIVU,H,53.0,32,59.4499988556,G,G,2.0,G
121,10895,publique,ibanda,pedagogie,FD,SUD-KIVU,H,53.0,27,51.7000007629,G,D,2.0,D
124,11793,publique,ibanda,pedagogie,FD,SUD-KIVU,H,54.0,21,61.7000007629,G,G,1.0,A
126,12225,publique,ibanda,pedagogie,FD,SUD-KIVU,H,61.0,25,50.0,G,A,1.0,G
144,7718,publique,butembo,latin philo,FD,NORD-KIVU,H,63.0,23,62.2000007629,G,G,3.0,G
145,8432,publique,butembo,pedagogie,FD,NORD-KIVU,H,56.0,24,60.2249994278,G,G,4.0,D
147,9004,publique,butembo,sociale,FD,NORD-KIVU,H,58.0,23,48.0,G,A,1.0,G
150,9604,publique,butembo,commmerciale et adm,FD,NORD-KIVU,F,57.0,23,67.0666656494,G,G,3.0,A
159,11618,publique,butembo,latin philo,FD,NORD-KIVU,F,63.0,20,59.2000007629,G,G,1.0,G
173,3779,publique,chemchem,commmerciale et adm,FD,NORD-KIVU,F,54.0,27,61.0999984741,G,G,1.0,A
184,4765,publique,chemchem,nutr,FD,NORD-KIVU,F,57.0,25,45.0,G,A,1.0,G
188,4883,publique,chemchem,coupe couture,FD,NORD-KIVU,F,52.0,29,60.7000007629,G,G,2.0,D
194,5749,publique,chemchem,sociale,FD,KINSHASA,F,56.0,25,69.1666666667,E,G,3.0,A
215,9615,publique,chemchem,pedagogie,FD,MANIEMA,F,51.0,28,59.1666653951,G,G,3.0,G
220,10880,publique,chemchem,coupe couture,FD,NORD-KIVU,F,58.0,21,58.1999988556,G,G,2.0,G
221,12218,publique,chemchem,latin philo,FD,MANIEMA,F,60.0,24,58.9000015259,G,G,1.0,G
226,8992,publique,ndosho,pedagogie,FD,SUD-KIVU,F,61.0,25,58.7333335876,G,G,3.0,C
227,9185,publique,ndosho,sociale,FD,NORD-KIVU,H,58.0,25,53.1499996185,G,D,2.0,G
233,9677,publique,ndosho,pedagogie,FD,NORD-KIVU,H,51.0,25,50.2666664123,G,C,3.0,E
243,11310,publique,ndosho,pedagogie,FD,NORD-KIVU,H,58.0,22,55.7000007629,G,G,1.0,G
248,3660,protestant,himbi,latin philo,FD,NORD-KIVU,F,52.0,27,60.2000007629,G,G,1.0,G
250,4038,protestant,himbi,latin philo,FD,NORD-KIVU,H,66.0,28,78.0999984741,A,G,1.0,A
255,4956,protestant,himbi,latin philo,FD,NORD-KIVU,H,52.0,28,68.5,G,G,1.0,G
260,6358,protestant,himbi,latin philo,FD,NORD-KIVU,H,54.0,27,58.9666671753,G,G,3.0,C
261,6360,protestant,himbi,latin philo,FD,NORD-KIVU,H,53.0,27,61.433333079,G,G,3.0,A
266,6904,protestant,himbi,latin philo,FD,NORD-KIVU,F,64.0,26,69.5333328247,C,G,3.0,A
271,7780,protestant,himbi,latin philo,FD,NORD-KIVU,F,58.0,25,62.5666656494,G,G,3.0,E
272,7794,protestant,himbi,latin philo,FD,NORD-KIVU,H,53.0,29,52.1999994914,G,E,3.0,G
276,8565,protestant,himbi,latin philo,FD,NORD-KIVU,H,55.0,26,43.8999996185,G,A,2.0,G
281,9064,protestant,himbi,commmerciale et adm,FD,NORD-KIVU,H,55.0,24,48.0,G,A,1.0,G
292,9332,protestant,himbi,pedagogie,FD,NORD-KIVU,H,62.0,23,60.3333333333,G,G,3.0,G
293,9385,protestant,himbi,latin philo,FD,NORD-KIVU,H,68.0,20,73.0999984741,C,G,3.0,A
313,10858,protestant,himbi,latin philo,FD,NORD-KIVU,H,52.0,22,56.6000003815,G,G,2.0,G
323,11751,protestant,himbi,latin philo,FD,NORD-KIVU,F,57.0,21,57.0,G,G,1.0,G
324,11779,protestant,himbi,latin philo,FD,NORD-KIVU,H,56.0,20,62.2000007629,G,G,1.0,G
326,12048,protestant,himbi,pedagogie,FD,NORD-KIVU,F,56.0,23,54.9000015259,G,G,1.0,G
329,12091,protestant,himbi,latin philo,FD,NORD-KIVU,H,54.0,20,66.0999984741,G,G,1.0,G
331,12130,protestant,himbi,commmerciale et adm,FD,NORD-KIVU,F,51.0,25,57.4000015259,G,G,1.0,A
334,4181,catholique,kambali,latin philo,FD,NORD-KIVU,H,60.0,29,66.2999992371,D,G,2.0,D
336,6243,catholique,kambali,latin philo,FD,NORD-KIVU,F,55.0,27,61.0499992371,G,G,2.0,D
337,7915,catholique,kambali,latin philo,FD,NORD-KIVU,H,66.0,25,74.4499969482,A,G,2.0,A
345,12121,catholique,kambali,latin philo,FD,NORD-KIVU,F,61.0,18,59.5999984741,G,G,1.0,G
346,8800,publique,Mugunga,pedagogie,FD,NORD-KIVU,F,58.0,26,47.0,G,A,1.0,G
347,8893,publique,Mugunga,sociale,FD,NORD-KIVU,H,67.0,23,62.1999982198,G,G,3.0,E
351,9671,publique,Mugunga,pedagogie,FD,NORD-KIVU,H,50.0,22,57.5333328247,G,G,3.0,G
356,4879,catholique,mwanga/ uvira,latin philo,FD,SUD-KIVU,H,51.0,28,64.6500015259,G,G,2.0,A
366,11602,catholique,mwanga/ uvira,latin philo,FD,SUD-KIVU,H,51.0,23,58.5,G,G,1.0,G
368,12155,catholique,mwanga/ uvira,bio-chimie,FD,SUD-KIVU,H,50.0,22,59.4000015259,G,G,1.0,G
369,12215,publique,mwanga/ uvira,latin philo,FD,SUD-KIVU,F,52.0,21,56.0,G,G,1.0,G
375,6242,catholique,it kasabinyole,pedagogie,FD,NORD-KIVU,F,56.0,25,64.3999996185,G,G,2.0,D
378,6593,kimbanguiste,kisolokele,sociale,FD,NORD-KIVU,F,60.0,30,59.7999992371,G,G,1.0,A
394,7748,publique,uzima,sociale,FD,NORD-KIVU,H,66.0,24,64.0333328247,G,G,3.0,E
399,8178,publique,uzima,commerciale informatique,FD,NORD-KIVU,F,51.0,24,60.8749990463,G,G,4.0,D
406,8874,publique,uzima,sociale,FD,NORD-KIVU,H,59.0,25,62.1333325704,G,G,3.0,E
415,10471,publique,uzima,sociale,FD,NORD-KIVU,F,58.0,23,64.1000003815,G,G,2.0,A
