,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
161,3895.0,TECHN,ca,i zanner,protestant,zanner,zanner,commmerciale et adm
192,4048.0,TECH,ca,inst zanner,protestant,zanner,zanner,commmerciale et adm
233,4217.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
292,4347.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
330,4409.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
364,4473.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
433,4627.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
447,4649.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
455,4667.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
458,4670.0,LITT,lp,zanner,protestant,zanner,zanner,latin philo
459,4671.0,TECH,ca,zanner,protestant,zanner,zanner,commmerciale et adm
516,4799.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
517,4800.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
622,5051.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
713,5718.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
747,6141.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
786,6235.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
787,6236.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
958,6569.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1211,7213.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1291,7365.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1445,7722.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
1543,8115.0,TECHNIQUE,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
1650,8247.0,LITERRAIRE,latin philo,zanner,protestant,zanner,zanner,latin philo
1677,8281.0,TECHNIQUE,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
1724,8345.0,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
1750,8379.0,Technique,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
