,ID,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,GENDER,DIPPERC,AGE,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
55,10384,protestant,zanner,latin philo,FM,NORD-KIVU,F,59.0,22,59.1499996185,G,G,2.0,G
71,11610,protestant,zanner,latin philo,FM,NORD-KIVU,H,52.0,23,44.0,G,A,1.0,G
134,10159,catholique,iti gombe,vétérinaire,FM,OUEST,H,56.8765221107,21,58.0499992371,G,G,2.0,G
171,11776,publique,masisi,latin philo,FM,NORD-KIVU,F,51.0,21,42.0,G,A,1.0,G
237,10411,publique,ndosho,pedagogie,FM,NORD-KIVU,H,57.0,24,49.0,G,A,1.0,G
302,10093,protestant,himbi,latin philo,FM,NORD-KIVU,F,53.0,21,58.7999992371,G,G,2.0,D
304,10239,protestant,himbi,commmerciale et adm,FM,NORD-KIVU,H,52.0,22,50.6499996185,G,D,2.0,G
306,10319,protestant,himbi,latin philo,FM,NORD-KIVU,F,57.0,21,55.0,G,G,1.0,G
327,12069,protestant,himbi,latin philo,FM,NORD-KIVU,H,60.0,20,58.5999984741,G,G,1.0,G
341,10048,catholique,kambali,bio-chimie,FM,NORD-KIVU,H,60.0,20,60.5499992371,G,G,2.0,G
343,10371,catholique,kambali,bio-chimie,FM,NORD-KIVU,H,62.0,20,65.9000015259,G,G,2.0,D
353,10519,publique,Mugunga,pedagogie,FM,NORD-KIVU,H,59.0,22,59.8000011444,G,G,2.0,D
354,10602,publique,Mugunga,sociale,FM,NORD-KIVU,H,55.0,20,56.4000015259,G,G,2.0,G
361,10656,catholique,mwanga/ uvira,math-physique,FM,SUD-KIVU,H,55.0,20,61.7000007629,G,G,1.0,G
418,11332,catholique,uzima,commerciale informatique,FM,NORD-KIVU,F,56.0,21,63.2000007629,G,G,1.0,G
540,11569,protestant,maendeleo,pedagogie,FM,NORD-KIVU,H,63.0,22,56.5,G,G,1.0,A
608,9867,publique,ngoma,bio-chimie,FM,NORD-KIVU,H,52.0,22,52.6000003815,G,D,2.0,G
610,9916,publique,ngoma,bio-chimie,FM,NORD-KIVU,H,68.0,20,66.2999992371,G,G,2.0,A
614,9975,publique,ngoma,bio-chimie,FM,NORD-KIVU,H,60.0,22,48.0,G,A,1.0,G
622,10155,publique,ngoma,bio-chimie,FM,NORD-KIVU,H,51.0,22,48.6000003815,G,D,2.0,G
623,10164,publique,ngoma,math-physique,FM,NORD-KIVU,H,54.0,20,59.25,G,G,2.0,D
634,10421,publique,ngoma,bio-chimie,FM,NORD-KIVU,H,60.0,23,40.0,G,A,1.0,G
639,10579,publique,ngoma,bio-chimie,FM,NORD-KIVU,H,60.0,20,41.0,G,A,1.0,G
722,11426,privé,mama yetu,bio-chimie,FM,NORD-KIVU,F,61.0,21,56.7000007629,G,G,1.0,G
949,9983,protestant,metanoia,bio-chimie,FM,NORD-KIVU,H,65.0,20,40.0,G,A,1.0,G
952,10001,protestant,metanoia,bio-chimie,FM,NORD-KIVU,H,58.0,23,62.0499992371,G,G,2.0,D
953,10010,protestant,metanoia,pedagogie,FM,NORD-KIVU,F,60.0,22,59.0,G,G,2.0,G
956,10126,protestant,metanoia,bio-chimie,FM,NORD-KIVU,F,81.0,21,72.0,A,G,2.0,A
959,10249,protestant,metanoia,latin philo,FM,NORD-KIVU,H,57.0,21,60.3999996185,G,G,2.0,D
960,10293,protestant,metanoia,pedagogie,FM,NORD-KIVU,H,63.0,23,59.8499984741,G,G,2.0,D
