,ID,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,PROM,Echec,Pass1erSession,Distinction,PercFinal
0,45,2013-2014,,AA,,,FPSE,L2,True,False,False,43.0
1,215,2012-2013,,ADM,63.0999984741,S,FD,L2,False,False,False,63.0999984741
2,343,2015-2016,,AA,52.2000007629,A,FSEG,G2,True,False,False,52.2000007629
3,356,2015-2016,,ADSTM,59.9000015259,S,FSEG,L2,False,False,False,59.9000015259
4,398,2012-2013,65.0999984741,S,,,FSDC,L2,False,True,False,65.0999984741
5,429,2013-2014,,AA,,A,FD,G1,True,False,False,41.0
6,474,2014-2015,,AA,,,FD,G3,True,False,False,46.0
7,474,2015-2016,62.5,S,,,FD,G3,False,True,False,62.5
8,526,2012-2013,65.0,S,,,FSDC,L2,False,True,False,65.0
9,644,2013-2014,60.4000015259,S,,,FD,L1,False,True,False,60.4000015259
10,644,2014-2015,68.0,S,,,FD,L2,False,True,False,68.0
11,645,2014-2015,,AA,61.4000015259,S,FD,L1,False,False,False,61.4000015259
12,645,2015-2016,,AA,,NAF,FD,L2,True,False,False,40.0
13,665,2014-2015,,AA,,A,FSEG,L2,True,False,False,48.0
14,735,2014-2015,,AA,65.0999984741,S,FSDC,L2,False,False,False,65.0999984741
15,736,2014-2015,,AA,60.7999992371,S,FSDC,L2,False,False,False,60.7999992371
16,736,2015-2016,,AA,,,FSDC,L2,True,False,False,40.0
17,768,2013-2014,62.9000015259,S,,,FT,L1,False,True,False,62.9000015259
18,768,2014-2015,68.8000030518,S,,,FT,L2,False,True,False,68.8000030518
19,827,2014-2015,,AA,,A,FSEG,L2,True,False,False,40.0
20,894,2015-2016,,AA,54.9000015259,S,FPSE,L1,False,False,False,54.9000015259
21,1061,2013-2014,,AA,56.0,S,FSEG,L1,False,False,False,56.0
22,1061,2014-2015,,AA,62.5999984741,S,FSEG,L2,False,False,False,62.5999984741
23,1234,2014-2015,62.4000015259,S,,,FSEG,G3,False,True,False,62.4000015259
24,1289,2013-2014,58.7000007629,A,63.0,S,FPSE,L1,False,False,False,63.0
25,1289,2014-2015,,ADM,68.3000030518,S,FPSE,L2,False,False,False,68.3000030518
26,1295,2014-2015,,AA,,,FD,L2,True,False,False,42.0
27,1346,2013-2014,,AA,,,FPSE,L2,True,False,False,45.0
28,1355,2014-2015,66.5,S,,,FPSE,G3,False,True,False,66.5
