,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
161,TECHN,ca,i zanner,protestant,zanner,zanner,commmerciale et adm
192,TECH,ca,inst zanner,protestant,zanner,zanner,commmerciale et adm
233,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
292,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
330,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
364,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
433,LIT,lp,zanner,protestant,zanner,zanner,latin philo
447,LIT,lp,zanner,protestant,zanner,zanner,latin philo
455,LIT,lp,zanner,protestant,zanner,zanner,latin philo
458,LITT,lp,zanner,protestant,zanner,zanner,latin philo
459,TECH,ca,zanner,protestant,zanner,zanner,commmerciale et adm
516,LIT,lp,zanner,protestant,zanner,zanner,latin philo
517,LIT,lp,zanner,protestant,zanner,zanner,latin philo
622,LIT,lp,zanner,protestant,zanner,zanner,latin philo
713,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
747,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
786,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
787,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
958,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1211,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1291,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1445,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
1543,TECHNIQUE,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
1650,LITERRAIRE,latin philo,zanner,protestant,zanner,zanner,latin philo
1677,TECHNIQUE,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
1724,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
1750,Technique,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
1790,LITERRAIRE,latin philo,zanner,protestant,zanner,zanner,latin philo
2073,Technique,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2119,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2217,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2250,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2378,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2524,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2577,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2686,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2688,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2718,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2746,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2775,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2842,Technique,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2868,Litteraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2869,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2872,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2877,Littéraire,latin-philo,zanner,protestant,zanner,zanner,latin philo
2880,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2995,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
2998,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3006,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3028,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3053,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3113,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3145,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3224,Litteraire,latin philosophie,institut zanner,protestant,zanner,zanner,latin philo
3287,Litteraire,latin philosophie,institut zanner,protestant,zanner,zanner,latin philo
3362,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3429,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3446,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3519,Littéraire,latin philisophie,zanner,protestant,zanner,zanner,latin philo
3539,Littéraire,latin philisophie,zanner,protestant,zanner,zanner,latin philo
3559,Littéraire,latin philisophie,zanner,protestant,zanner,zanner,latin philo
3664,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3709,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3751,Littéraire,latin-philosophie,zanner,protestant,zanner,zanner,latin philo
3752,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3909,COMMERCIALE,commerciale et administrative,intitut zanner,protestant,zanner,zanner,commmerciale et adm
3945,COMMERCIALE,commerciale et administrative,institut zaner,protestant,zaner,zanner,commmerciale et adm
3957,COMMERCIALE,commerciale et administrative,institut zaner,protestant,zaner,zanner,commmerciale et adm
4008,LITTERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4089,COMMERCIALE,commerciale et administrative,institut zanner,protestant,zanner,zanner,commmerciale et adm
4118,COMMERCIALE,commerciale et administrative,institut zanner,protestant,zanner,zanner,commmerciale et adm
4168,LITTERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4249,COMMERCIALE,commercialen et administraive,ionstitut zanner,protestant,ionstitut zanner,zanner,commmerciale et adm
4262,LITERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4263,LITERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4280,LITERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4467,LITTERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4497,LITTERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
58,SCIENTIFIQUE,math physique,edap/isp,publique,edap/isp,edap/isp,math-physique
107,TECHNIQUE,com et adm,edap/isp,publique,edap/isp,edap/isp,commmerciale et adm
427,SC,bc,edap/isp,publique,edap/isp,edap/isp,bio-chimie
987,SC,mp,edac isp,publique,edac isp,edap/isp,math-physique
1389,SC,bc,edap isp,publique,edap isp,edap/isp,bio-chimie
1679,TECHNIQUE,commerciale administrative,bdap/isp,publique,bdap/isp,edap/isp,commmerciale et adm
2488,Scientifique,mathématique physique,edap/isp,publique,edap/isp,edap/isp,math-physique
2793,Technique,commerciale et administrative,edap isp,publique,edap isp,edap/isp,commmerciale et adm
2797,Technique,commerciale et administrative,edap/isp,publique,edap/isp,edap/isp,commmerciale et adm
4091,SCIENTIFIQUE,mathematique- physique,edap/isp,publique,edap/isp,edap/isp,math-physique
739,PEDAGOGIEQUE,peda generale,tulia asode,publique,tulia asode,mululusake,pedagogie
1982,Pédagogique,pédagogie générale,mushimbakye,publique,mushimbakye,mululusake,pedagogie
3924,PEDAGOGIE,pedagogie generale,institut mululu/sake,publique,mululu/sake,mululusake,pedagogie
4218,PEDAGOGIE,pedagogie generale,institut mululu/sake,publique,mululu/sake,mululusake,pedagogie
4402,TECHNIQUE,sociale,institut mululusake,publique,mululusake,mululusake,sociale
35,TECH,ca,i d'ibanda,publique,d'ibanda,ibanda,commmerciale et adm
66,PEDAGOGIEQUE,peda generale,inst ibanda,publique,ibanda,ibanda,pedagogie
89,PED,pg,ibanda,publique,ibanda,ibanda,pedagogie
96,TECHN,ca,i ibanda,publique,ibanda,ibanda,commmerciale et adm
142,SCIENTIFIQUE,math physique,inst d'ibanda,publique,d'ibanda,ibanda,math-physique
257,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
258,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
611,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
699,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
789,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
999,SC,mp,ibanda,publique,ibanda,ibanda,math-physique
1098,SC,bc,ibanda,publique,ibanda,ibanda,bio-chimie
1283,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
1424,SC,bc,ibanda,publique,ibanda,ibanda,bio-chimie
1427,SC,bc,ibanda,publique,ibanda,ibanda,bio-chimie
1434,SC,bc,idanda,publique,idanda,ibanda,bio-chimie
1710,Scientifique,biologie-chimie,ibanda,publique,ibanda,ibanda,bio-chimie
2048,Technique,commerciale administrative,ibanda,publique,ibanda,ibanda,commmerciale et adm
2471,Pédagogique,pédagogie générale,ibanda,publique,ibanda,ibanda,pedagogie
2652,Scientifique,mathématique physique,ibanda,publique,ibanda,ibanda,math-physique
2796,Technique,commerciale et administrative,ibanda,publique,ibanda,ibanda,commmerciale et adm
2838,Scientique,mathématique-physique,ibanda,publique,ibanda,ibanda,math-physique
3188,Scientifique,mathématique physique,ibanda,publique,ibanda,ibanda,math-physique
3335,Pedagogique,pedagogie générale,institut dibanda,publique,dibanda,ibanda,pedagogie
3338,Scientifique,math physique,ibanda,publique,ibanda,ibanda,math-physique
3452,Pédagogique,pédagogie générale,vision ibanda,publique,vision ibanda,ibanda,pedagogie
3654,Pédagogique,pédagogie générale,ibanda,publique,ibanda,ibanda,pedagogie
3772,Pédagogique,pédagogie générale,ibanda,publique,ibanda,ibanda,pedagogie
3843,Pédagogique,pédagogie générale,ibanda,publique,ibanda,ibanda,pedagogie
4189,SCIENTIFIQUE,bio chimie,atene ibanda,publique,atene ibanda,ibanda,bio-chimie
4339,SCIENTIFIQUE,bio chimie,institut d'ibanda,publique,d'ibanda,ibanda,bio-chimie
4341,PEDAGOGIE,pedagogie generale,institut ibanda,publique,ibanda,ibanda,pedagogie
4574,COMMERCIALE,commerciale et administrative,institut d'ibanda,publique,d'ibanda,ibanda,commmerciale et adm
281,SC,mp,frere ilolo,privé,frere ilolo,frere alimba,math-physique
743,SC,mp,frere alimba,privé,frere alimba,frere alimba,math-physique
4665,SCIENTIFIQUE,bio chimie,collège frère zuza,privé,frère zuza,frere alimba,bio-chimie
268,MEC,macanique machines ou,iti gombe,catholique,iti gombe,iti gombe,mecanique machines outils
2231,Scientifique,biologie chimie,pierre bouvet,catholique,pierre bouvet,iti gombe,bio-chimie
2693,Technique,commerciale et administrative,collège pierre bouvet,catholique,pierre bouvet,iti gombe,commmerciale et adm
2702,Technique,vétérinaire,itav ambele,catholique,itav ambele,iti gombe,vétérinaire
3147,Technique,veterinaire,eav bigogwe,catholique,eav bigogwe,iti gombe,vétérinaire
3538,Technique,electricité générale,iti cholola,catholique,iti cholola,iti gombe,electronique générale
3948,TECHNIQUE,mecanique generale,iti goma,catholique,iti goma,iti gombe,mec gene
3954,TECHNIQUE,electricite,itp/gombe,publique,itp/gombe,iti gombe,elec
4028,TECHNIQUE,electricite,iti goma,catholique,iti goma,iti gombe,elec
4194,TECHNIQUE,mecanique generale,iti goma,catholique,iti goma,iti gombe,mec gene
4204,TECHNIQUE,electricite,iti goma,catholique,iti goma,iti gombe,elec
4233,TECHNIQUE,electricite,iti goma,catholique,iti goma,iti gombe,elec
4234,TECHNIQUE,mecanique generale,iti goma,catholique,iti goma,iti gombe,mec gene
1106,PED,pg,kitembo,publique,kitembo,butembo,pedagogie
1441,LIT,lp,lycee butembo,publique,butembo,butembo,latin philo
1791,Pédagogique,pédagogie générale,butembo,publique,butembo,butembo,pedagogie
1834,Pédagogique,pédagogie générale,kitembo,publique,kitembo,butembo,pedagogie
2199,Technique,sociale,bukombo,publique,bukombo,butembo,sociale
2314,Technique,sociale,murembwe,publique,murembwe,butembo,sociale
2457,Technique,sociale,murembwe,publique,murembwe,butembo,sociale
2734,Technique,commerciale et administrative,butembo,publique,butembo,butembo,commmerciale et adm
2802,Technique,commerciale et administrative,butembo,publique,butembo,butembo,commmerciale et adm
3257,Pédagogique,pédagogie générale,institut bukambi,publique,bukambi,butembo,pedagogie
3406,Pédagogique,pédagogie générale,lycée butembo,publique,butembo,butembo,pedagogie
3816,Technique,electronique industrielle,lycée butembo,publique,butembo,butembo,elec indust
3840,Scientifique,mathématique physique,butembo,publique,butembo,butembo,math-physique
3868,Technique,commerciale administrative,butembo,publique,butembo,butembo,commmerciale et adm
4023,COMMERCIALE,commerciale et administrative,lycée butembo,catholique,butembo,butembo,commmerciale et adm
4120,SCIENTIFIQUE,mathematique- physique,institut de butembo,publique,de butembo,butembo,math-physique
4176,LITTERAIRE,latin philo,institut de butembo,publique,de butembo,butembo,latin philo
4279,TECHNIQUE,sociale,institut murembwe,protestant,murembwe,butembo,sociale
4399,PEDAGOGIE,pedagogie generale,institut de butembo,publique,de butembo,butembo,pedagogie
4581,TECHNIQUE,construction,institut munyembelu,publique,munyembelu,butembo,construction
4633,PEDAGOGIE,pedagogie generale,institut de butembo,publique,de butembo,butembo,pedagogie
4634,TECHNIQUE,construction,institut munyembelu,publique,munyembelu,butembo,construction
4652,TECHNIQUE,agriculture generale,itav/butembo,publique,itav/butembo,butembo,agricole
4697,COMMERCIALE,commerciale administrative,lycée butembo,catholique,butembo,butembo,commmerciale et adm
232,TEC,ca,masisi2,protestant,masisi2,masisi,commmerciale et adm
554,PED,pg,inst2 masisi,protestant,inst2 masisi,masisi,pedagogie
4182,TECHNIQUE,sociale,institut masisi,protestant,masisi,masisi,sociale
4231,COMMERCIALEC,commerciale et administrative,institut ii masisi,publique,ii masisi,masisi,commmerciale et adm
4324,LITERAIRE,latin philo,institut de masisi,publique,de masisi,masisi,latin philo
1456,PEDAGOGIEQUE,peda generale,institut lwanga bobandana,catholique,lwanga bobandana,lwanga bobandana,pedagogie
1464,PEDAGOGIEQUE,peda generale,institut lwanga/bobandana,catholique,lwanga/bobandana,lwanga bobandana,pedagogie
4175,PEDAGOGIE,pedagogie generale,institut lwanga de bobandana,catholique,lwanga de bobandana,lwanga bobandana,pedagogie
4345,TECHNIQUE,sociale,college lluanga bobandana,catholique,lluanga bobandana,lwanga bobandana,sociale
31,TECHNIQUE,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
127,TECHNIQUE,commerciale,lycee chemchem,publique,chemchem,chemchem,commmerciale et adm
137,TECHNIQUE,sociale,lycee cherchem,publique,cherchem,chemchem,sociale
178,NUTRITION,inconnu,lycee chemchem,publique,chemchem,chemchem,inconnu
332,TEC,nutrition,l chemchem,publique,l chemchem,chemchem,nutr
354,TEC,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
355,TEC,sociale,lycee chechem,publique,chechem,chemchem,sociale
370,NUTRITION,nutrition et diet,lycee chemchem,publique,chemchem,chemchem,nutr
423,TECH,nutrition,lycee chemchem,publique,chemchem,chemchem,nutr
480,TECH,nutrition,lycee checmchem,publique,checmchem,chemchem,nutr
493,NUTRI,diet,lycee chemchem,publique,chemchem,chemchem,diet
496,TEC,nutri,l chemchem,publique,l chemchem,chemchem,nutr
497,TECH,nutrition,chemchem,publique,chemchem,chemchem,nutr
501,TEC µ,nutri,chemchem,publique,chemchem,chemchem,nutr
505,NUTRITION,diet,lycee chemchem,publique,chemchem,chemchem,diet
510,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
560,TEC,coupe couture,chemchem,publique,chemchem,chemchem,coupe couture
569,TEC,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
652,TEC,nutrit,l chemchem,publique,l chemchem,chemchem,nutr
680,TEC,nutrition,lycee chemchem,publique,chemchem,chemchem,nutr
689,TEC,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
726,TEC,nutrition,chemchem,publique,chemchem,chemchem,nutr
727,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
757,TEC,soc,lycee chemchem,publique,chemchem,chemchem,sociale
772,TEC AGR,nutrition,lycee chemchem,publique,chemchem,chemchem,nutr
864,TEC,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
865,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
897,TEC,nutrition,st michel,publique,st michel,chemchem,nutr
921,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
941,TEC AGRICOLE,nutrition,chemchem,publique,chemchem,chemchem,nutr
942,TEC AGRICOLE,nutrition,chemchem,publique,chemchem,chemchem,nutr
993,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
996,TECH AGRICOLE,nutrition,chemchem,publique,chemchem,chemchem,nutr
1003,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
1045,TEC AGR,nutrition,chemchem,publique,chemchem,chemchem,nutr
