ID,BIRTHDAY,SEXE,DIPLOMDATE,DIPLOMTYPE,DIPPERC,SECTION,OPTION,SCHOOL,SCHOOLPROVINCE,SCHOOLSTATUS
45,1972-03-21,H,1994-09-29,inconnu,50.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT MAENDELEO,NORD-KIVU,inconnu
215,1978-09-07,F,,DIPLÔME D'ETAT,58.0,SCIENTIFIQUE,MATH-PHYSIQUE,INSTITUT VUNGI,NORD-KIVU,inconnu
343,1973-03-04,H,1999-11-15,DIPLÔME D'ETAT,54.0,SCIENTIFIQUE,MATH PHYSIQUE,INSTITUT FARAJA,NORD-KIVU,inconnu
356,1978-03-02,H,1997-12-24,DIPLÔME D'ETAT DU RWANDA,60.0,ECONOMIE ET COMMERCE,ECONOMIE,ESISE/GISENYI,inconnu,inconnu
398,1968-02-28,H,1990-07-02,DIPLÔME D'ETAT,60.0,SCIENTIFIQUE,MATH PHYSIQUE,,inconnu,inconnu
429,1973-01-11,H,,DIPLÔME D'ETAT,0.0,TECHNIQUE,COMMERCIALE ET ADMINISTRATIVE,"C,S, UMOJA",NORD-KIVU,inconnu
474,1979-04-06,F,,inconnu,0.0,inconnu,inconnu,INST. MAENDELEO,NORD-KIVU,inconnu
474,1979-04-06,F,,inconnu,0.0,inconnu,inconnu,INST. MAENDELEO,NORD-KIVU,inconnu
526,1979-01-27,H,2001-04-30,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PEDA GENERALE,,inconnu,inconnu
644,1976-01-29,H,,DIPLÔME D'ETAT,50.0,PEDAGOGIEQUE,PEDA GENERALE,INST. MPINGA,SUD-KIVU,inconnu
644,1976-01-29,H,,DIPLÔME D'ETAT,50.0,PEDAGOGIEQUE,PEDA GENERALE,INST. MPINGA,SUD-KIVU,inconnu
645,1979-11-24,H,1999-10-09,DIPLÔME D'ETAT,53.0,LITTERAIRE,LATIN PHILO,INST TUPENDANE/KOLWEZI,KATANGA,inconnu
645,1979-11-24,H,1999-10-09,DIPLÔME D'ETAT,53.0,LITTERAIRE,LATIN PHILO,INST TUPENDANE/KOLWEZI,KATANGA,inconnu
665,1979-11-03,H,2001-04-30,DIPLÔME D'ETAT,52.0,TECHNIQUE,SOCIALE,INSTITUT MIKENO,NORD-KIVU,inconnu
735,1965-09-02,H,,inconnu,0.0,inconnu,inconnu,,inconnu,inconnu
736,1961-07-07,H,,inconnu,0.0,inconnu,inconnu,,inconnu,inconnu
736,1961-07-07,H,,inconnu,0.0,inconnu,inconnu,,inconnu,inconnu
768,1969-03-01,H,1992-10-29,DIPLÔME D'ETAT,52.0,SCIENTIFIQUE,MATH-PHYSIQUE,,inconnu,inconnu
768,1969-03-01,H,1992-10-29,DIPLÔME D'ETAT,52.0,SCIENTIFIQUE,MATH-PHYSIQUE,,inconnu,inconnu
827,1962-04-15,H,,inconnu,60.0,TEC,CA,AUTO,NORD-KIVU,inconnu
894,1969-02-01,F,1991-07-02,DIPLÔME D'ETAT,55.0,PEDAGOGIEQUE,PEDA GENERALE,,inconnu,inconnu
1061,1979-02-18,H,,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT MONT GOMA,NORD-KIVU,inconnu
1061,1979-02-18,H,,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT MONT GOMA,NORD-KIVU,inconnu
1234,1984-08-31,F,,inconnu,0.0,inconnu,inconnu,INSTITUT MWANGA,NORD-KIVU,inconnu
1289,1967-12-02,F,,inconnu,52.0,PED,PG,BUTURANDE,NORD-KIVU,inconnu
1289,1967-12-02,F,,inconnu,52.0,PED,PG,BUTURANDE,NORD-KIVU,inconnu
1295,1975-05-25,H,1998-05-25,DIPLÔME D'ETAT,51.0,SCIENTIFIQUE,CHIMIE BIOLOGIE,INST. KIWELE,KATANGA,inconnu
1346,1983-12-12,F,,DIPLÔME D'ETAT,60.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,NORD-KIVU,inconnu
1355,1976-06-07,H,2001-09-03,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,NORD-KIVU,inconnu
1376,1979-06-24,H,,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PEDA GENERALE,INST AMKENI,NORD-KIVU,inconnu
1497,1984-09-08,H,,DIPLÔME D'ETAT,62.0,MECANIQUE,MECANIQUE GENERALE,ITIG,NORD-KIVU,inconnu
1497,1984-09-08,H,,DIPLÔME D'ETAT,62.0,MECANIQUE,MECANIQUE GENERALE,ITIG,NORD-KIVU,inconnu
1517,1980-12-26,H,2001-10-20,DIPLÔME D'ETAT,52.0,TECHNIQUE INDUSTRIELLE,ELECTRICITE,ITIG,NORD-KIVU,inconnu
1557,1975-09-25,F,,inconnu,0.0,inconnu,inconnu,,inconnu,inconnu
1670,1973-05-12,H,,inconnu,51.0,TECHNIQUE,COMMERCIALE ADM,INST IMAKI/KIRUMBA,NORD-KIVU,inconnu
1670,1973-05-12,H,,inconnu,51.0,TECHNIQUE,COMMERCIALE ADM,INST IMAKI/KIRUMBA,NORD-KIVU,inconnu
1752,1989-04-30,F,,DIPLÔME D'ETAT,53.0,Technique,Sociale,CS SUKA LAPEREAUX,SUD-KIVU,inconnu
1752,1989-04-30,F,,DIPLÔME D'ETAT,53.0,Technique,Sociale,CS SUKA LAPEREAUX,SUD-KIVU,inconnu
1846,1963-12-20,F,,DIPLÔME D'ETAT,52.0,Pédagogique,Pédagogie Générale,Buturande,NORD-KIVU,inconnu
1847,1985-02-11,F,,inconnu,59.0,LITT,LP,INSTITUT DE BUKAVU,SUD-KIVU,inconnu
1848,1985-02-25,F,,DIPLÔME D'ETAT,52.0,SCIENTIFIQUE,BIO CHIMIE,INSTITUT MAJENGO,NORD-KIVU,inconnu
1848,1985-02-25,F,,DIPLÔME D'ETAT,52.0,SCIENTIFIQUE,BIO CHIMIE,INSTITUT MAJENGO,NORD-KIVU,inconnu
