,ID,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,GENDER,DIPPERC,AGE,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
0,3895,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,52.0,31,59.4000015259,G,G,1.0,G
1,4048,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,53.0,30,40.0,G,A,1.0,G
2,4217,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,54.0,28,61.2999992371,G,G,1.0,A
3,4347,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,53.0,29,60.5999984741,G,G,1.0,G
4,4409,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,58.0,27,48.5999984741,G,A,1.0,G
5,4473,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,52.0,31,55.4000002543,G,E,3.0,G
14,5718,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,58.0,25,61.5,G,G,2.0,G
15,6141,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,59.0,29,60.066666921,G,G,3.0,A
16,6235,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,58.0,27,60.5,G,G,2.0,G
17,6236,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,55.0,26,58.9500007629,G,G,2.0,G
18,6569,protestant,zanner,latin philo,FSEG,NORD-KIVU,H,53.0,26,59.0,G,G,2.0,G
19,7213,protestant,zanner,latin philo,FSEG,NORD-KIVU,H,57.0,28,56.7000007629,G,G,3.0,G
22,8115,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,61.0,22,62.8000011444,G,G,4.0,B
23,8247,protestant,zanner,latin philo,FSEG,NORD-KIVU,H,59.0,23,60.2333335877,G,G,3.0,G
24,8281,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,51.0,24,55.9666659038,G,E,3.0,G
26,8379,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,52.0,23,57.433333079,G,G,3.0,G
28,8875,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,50.0,25,54.7666676839,G,E,3.0,G
30,9023,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,53.0,24,57.366666158,G,G,3.0,G
31,9057,protestant,zanner,latin philo,FSEG,NORD-KIVU,H,50.0,27,48.0,G,A,1.0,G
32,9195,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,55.0,21,60.1666666667,G,G,3.0,C
34,9413,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,62.0,24,61.933333079,G,G,3.0,E
35,9542,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,53.0,20,58.1333325704,G,G,3.0,G
36,9544,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,52.0,24,45.0,G,A,1.0,G
38,9618,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,52.0,21,56.7333335877,G,G,3.0,E
40,9833,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,50.0,23,53.75,G,G,2.0,G
42,9861,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,51.0,20,57.5500011444,G,G,2.0,D
43,9864,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,51.0,20,47.0,G,A,1.0,G
45,9872,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,61.0,21,65.4500007629,G,G,2.0,G
47,9997,protestant,zanner,latin philo,FSEG,NORD-KIVU,H,53.0,23,44.0,G,A,1.0,G
48,10007,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,50.0,22,56.75,G,G,2.0,G
50,10058,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,56.0,22,56.25,G,G,2.0,G
52,10157,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,H,52.0,21,59.8500003815,G,G,2.0,G
53,10237,protestant,zanner,latin philo,FSEG,NORD-KIVU,F,59.0,22,56.2000007629,G,G,2.0,G
56,10459,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,F,52.0,24,51.75,G,D,2.0,G
62,10758,protestant,zanner,latin philo,FSEG,NORD-KIVU,F,52.0,22,55.9500007629,G,G,2.0,G
63,10800,protestant,zanner,latin philo,FSEG,NORD-KIVU,H,54.0,21,59.3999996185,G,G,2.0,G
