ID,DIPPERC,SCHOOL_RIGHT,OPTION_RIGHT,FAC,CGPA,DistinctionRatio,EchecRatio,Pass1stSessionRatio
3895,52.0,zanner,commerciale et administrative,FSEG,59.4000015259,G,G,G
4048,53.0,zanner,commerciale et administrative,FSEG,49.25,G,A,G
4217,54.0,zanner,commerciale et administrative,FSEG,61.2999992371,G,G,A
4347,53.0,zanner,commerciale et administrative,FSEG,60.5999984741,G,G,G
4409,58.0,zanner,commerciale et administrative,FSEG,48.5999984741,G,A,G
4473,52.0,zanner,commerciale et administrative,FSEG,55.4000002543,G,E,G
4627,52.0,zanner,latin philo,FD,59.4000015259,G,G,G
4649,53.0,zanner,latin philo,FD,60.5,G,G,G
4667,52.0,zanner,latin philo,FD,68.2999992371,G,G,A
4670,51.0,zanner,latin philo,FD,64.0499992371,G,G,A
4671,60.0,zanner,commerciale et administrative,FD,63.7999992371,G,G,A
4799,52.0,zanner,latin philo,FD,47.25,G,A,G
4800,51.0,zanner,latin philo,FD,59.6000003815,G,G,D
5051,53.0,zanner,latin philo,FD,63.0500011445,G,G,D
5718,58.0,zanner,commerciale et administrative,FSEG,61.5,G,G,G
6141,59.0,zanner,commerciale et administrative,FSEG,60.066666921,G,G,A
6235,58.0,zanner,commerciale et administrative,FSEG,60.5,G,G,G
6236,55.0,zanner,commerciale et administrative,FSEG,58.9500007629,G,G,G
6569,53.0,zanner,latin philo,FSEG,59.0,G,G,G
7213,57.0,zanner,latin philo,FSEG,56.7000007629,G,G,G
7365,62.0,zanner,latin philo,FSDC,63.4000002543,G,G,A
7722,57.0,zanner,commerciale et administrative,FD,64.0,G,G,A
8115,61.0,zanner,commerciale et administrative,FSEG,62.8000011444,G,G,B
8247,59.0,zanner,latin philo,FSEG,60.2333335877,G,G,G
8281,51.0,zanner,commerciale et administrative,FSEG,55.9666659038,G,E,G
8345,50.0,zanner,latin philo,FD,61.4333343506,G,G,G
8379,52.0,zanner,commerciale et administrative,FSEG,57.433333079,G,G,G
8431,59.0,zanner,latin philo,FD,51.2166671753,G,C,G
8875,50.0,zanner,commerciale et administrative,FSEG,54.2666676839,G,E,G
8922,50.0,zanner,latin philo,FD,56.4666659037,G,G,G
