,IDENTIFICATION,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,BIRTHDAY,GENDER,DIPLOMPERCENTAGE,AGE
0,3895,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1985-07-16,H,52.0,31
1,4048,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1987-04-20,H,53.0,30
2,4217,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1989-01-22,H,54.0,28
3,4347,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1987-07-11,H,53.0,29
4,4409,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1989-11-19,H,58.0,27
5,4473,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1986-03-18,H,52.0,31
6,4627,protestant,zanner,latin philo,FD,NORD-KIVU,1988-03-16,F,52.0,29
7,4649,protestant,zanner,latin philo,FD,NORD-KIVU,1990-10-08,F,53.0,26
8,4667,protestant,zanner,latin philo,FD,NORD-KIVU,1987-09-23,H,52.0,29
9,4670,protestant,zanner,latin philo,FD,NORD-KIVU,1986-02-08,H,51.0,31
10,4671,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,1990-06-05,F,60.0,27
11,4799,protestant,zanner,latin philo,FD,NORD-KIVU,1990-01-17,H,52.0,27
12,4800,protestant,zanner,latin philo,FD,NORD-KIVU,1988-08-06,H,51.0,28
13,5051,protestant,zanner,latin philo,FD,NORD-KIVU,1989-07-01,H,53.0,28
14,5718,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1992-05-03,H,58.0,25
15,6141,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1987-12-05,H,59.0,29
16,6235,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1990-03-30,H,58.0,27
17,6236,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1991-06-16,H,55.0,26
18,6569,protestant,zanner,latin philo,FSEG,NORD-KIVU,1990-10-21,H,53.0,26
19,7213,protestant,zanner,latin philo,FSEG,NORD-KIVU,1989-06-28,H,57.0,28
20,7365,protestant,zanner,latin philo,FSDC,NORD-KIVU,1993-03-12,F,62.0,24
21,7722,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,1991-11-22,H,57.0,25
22,8115,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1995-06-06,F,61.0,22
23,8247,protestant,zanner,latin philo,FSEG,NORD-KIVU,1994-02-02,H,59.0,23
24,8281,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1992-09-21,F,51.0,24
25,8345,protestant,zanner,latin philo,FD,NORD-KIVU,1993-08-30,H,50.0,23
26,8379,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1993-08-03,H,52.0,23
27,8431,protestant,zanner,latin philo,FD,NORD-KIVU,1992-03-21,H,59.0,25
