,IDENTIFICATION,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
0,45,2013-2014,,AA,,,FPSE,Sciences de l'Éducation,L2
1,215,2012-2013,,ADM,63.0999984741,S,FD,Droit Privé et Judiciaire,L2
2,343,2015-2016,,AA,52.2000007629,A,FSEG,Tronc commun,G2
3,356,2015-2016,,ADSTM,59.9000015259,S,FSEG,Gestion des Entreprises,L2
4,398,2012-2013,65.0999984741,S,,,FSDC,Santé et Développement Communautaires,L2
5,429,2013-2014,,AA,,A,FD,Tronc commun,G1
6,474,2014-2015,,AA,,,FD,Droit Privé et Judiciaire,G3
7,474,2015-2016,62.5,S,,,FD,Droit Privé et Judiciaire,G3
8,526,2012-2013,65.0,S,,,FSDC,Santé et Développement Communautaires,L2
9,644,2013-2014,60.4000015259,S,,,FD,Droit Privé et Judiciaire,L1
10,644,2014-2015,68.0,S,,,FD,Droit Privé et Judiciaire,L2
11,645,2014-2015,,AA,61.4000015259,S,FD,Droit Public,L1
12,645,2015-2016,,AA,,NAF,FD,Droit Public,L2
13,665,2014-2015,,AA,,A,FSEG,Gestion des Entreprises,L2
14,735,2014-2015,,AA,65.0999984741,S,FSDC,Santé et Développement Communautaires,L2
15,736,2014-2015,,AA,60.7999992371,S,FSDC,Santé et Développement Communautaires,L2
16,736,2015-2016,,AA,,,FSDC,Santé et Développement Communautaires,L2
17,768,2013-2014,62.9000015259,S,,,FT,Tronc commun,L1
18,768,2014-2015,68.8000030518,S,,,FT,Tronc commun,L2
19,827,2014-2015,,AA,,A,FSEG,Gestion Financière,L2
20,894,2015-2016,,AA,54.9000015259,S,FPSE,Sciences de l'Éducation,L1
21,1061,2013-2014,,AA,56.0,S,FSEG,Gestion Financière,L1
22,1061,2014-2015,,AA,62.5999984741,S,FSEG,Gestion Financière,L2
23,1234,2014-2015,62.4000015259,S,,,FSEG,Tronc commun,G3
24,1289,2013-2014,58.7000007629,A,63.0,S,FPSE,Sciences de l'Éducation,L1
25,1289,2014-2015,,ADM,68.3000030518,S,FPSE,Sciences de l'Éducation,L2
26,1295,2014-2015,,AA,,,FD,Droit Public,L2
27,1346,2013-2014,,AA,,,FPSE,Sciences de l'Éducation,L2
