,ID,CGPA,Nbre,Ratio1ss,RatioDist,RatioEchec
0,1670,62.1499996185,2.0,0.5,0.0,0.0
1,9841,52.0,1.0,0.0,0.0,1.0
2,9867,54.1000003815,2.0,0.0,0.0,0.5
3,9879,61.5499992371,2.0,0.5,0.0,0.0
4,9887,59.4500007629,2.0,0.5,0.0,0.0
5,9891,55.8999996185,2.0,0.0,0.0,0.0
6,9909,52.0,1.0,0.0,0.0,1.0
7,9915,61.1000003815,2.0,0.5,0.0,0.0
8,9916,66.2999992371,2.0,1.0,0.0,0.0
9,9942,60.8500003815,2.0,0.5,0.0,0.0
10,9950,61.2000007629,1.0,0.0,0.0,0.0
11,9965,47.0,1.0,0.0,0.0,1.0
12,9975,51.0,1.0,0.0,0.0,1.0
13,9978,62.7000007629,2.0,0.5,0.0,0.0
14,9983,47.0,1.0,0.0,0.0,1.0
15,9993,52.7000007629,1.0,0.0,0.0,1.0
16,9998,64.9499969482,2.0,0.5,0.0,0.0
17,10001,62.0499992371,2.0,0.5,0.0,0.0
18,10008,60.9499988556,2.0,0.5,0.0,0.0
19,10009,58.3500003815,2.0,1.0,0.0,0.0
20,10010,59.0,2.0,0.0,0.0,0.0
21,10012,46.0,1.0,0.0,0.0,1.0
22,10022,56.6000003815,2.0,0.0,0.0,0.0
23,10025,61.1499996185,2.0,1.0,0.0,0.0
24,10037,58.9500007629,2.0,0.0,0.0,0.0
25,10048,60.5499992371,2.0,0.0,0.0,0.0
26,10062,58.8500003815,2.0,1.0,0.0,0.0
27,10069,67.5999984741,2.0,1.0,0.0,0.0
28,10090,57.75,2.0,0.0,0.0,0.0
29,10093,58.7999992371,2.0,0.5,0.0,0.0
30,10096,61.2000007629,2.0,0.0,0.0,0.0
31,10097,68.25,2.0,1.0,0.0,0.0
32,10104,61.3500003815,2.0,1.0,0.0,0.0
33,10114,48.0,1.0,0.0,0.0,1.0
34,10116,62.9500007629,2.0,0.0,0.0,0.0
35,10118,66.5,2.0,1.0,0.0,0.0
36,10126,72.0,2.0,1.0,1.0,0.0
37,10128,49.7999992371,1.0,0.0,0.0,1.0
38,10150,48.0,1.0,0.0,0.0,1.0
39,10155,51.6000003815,2.0,0.0,0.0,0.5
40,10159,58.0499992371,2.0,0.0,0.0,0.0
41,10161,48.0,1.0,0.0,0.0,1.0
42,10162,59.4500007629,2.0,0.0,0.0,0.0
43,10164,59.25,2.0,0.5,0.0,0.0
44,10172,56.75,2.0,0.0,0.0,0.0
45,10174,61.5,2.0,1.0,0.0,0.0
46,10178,54.25,2.0,0.0,0.0,0.5
47,10182,61.7000007629,1.0,0.0,0.0,0.0
48,10187,55.4000015259,1.0,0.0,0.0,1.0
49,10197,70.9500007629,2.0,1.0,0.5,0.0
50,10207,49.7000007629,1.0,0.0,0.0,1.0
51,10208,58.3499984741,2.0,0.0,0.0,0.0
52,10222,45.0,1.0,0.0,0.0,1.0
53,10228,53.7999992371,1.0,0.0,0.0,1.0
54,10238,62.25,2.0,0.0,0.0,0.0
55,10239,52.1499996185,2.0,0.0,0.0,0.5
56,10240,53.5,2.0,0.0,0.0,0.5
57,10249,60.3999996185,2.0,0.5,0.0,0.0
58,10250,57.6000003815,2.0,0.0,0.0,0.0
59,10263,69.8500022888,2.0,1.0,0.5,0.0
60,10266,54.6999988556,2.0,0.0,0.0,0.5
61,10277,61.5500011444,2.0,0.5,0.0,0.0
62,10284,45.7000007629,1.0,0.0,0.0,1.0
63,10289,49.0,1.0,0.0,0.0,1.0
64,10290,60.1499996185,2.0,1.0,0.0,0.0
65,10291,62.2999992371,2.0,0.0,0.0,0.0
66,10292,59.0,2.0,0.5,0.0,0.0
67,10293,59.8499984741,2.0,0.5,0.0,0.0
68,10294,51.3999996185,2.0,0.0,0.0,0.5
69,10311,61.6999988556,2.0,1.0,0.0,0.0
70,10319,55.0,1.0,0.0,0.0,0.0
71,10324,55.25,2.0,0.0,0.0,0.5
72,10356,62.6499996185,2.0,0.5,0.0,0.0
73,10371,65.9000015259,2.0,0.5,0.0,0.0
74,10377,58.9499988556,2.0,0.5,0.0,0.0
75,10378,59.2000007629,2.0,0.5,0.0,0.0
76,10379,56.2000007629,2.0,0.0,0.0,0.0
77,10384,59.1499996185,2.0,0.0,0.0,0.0
78,10395,61.9500007629,2.0,0.0,0.0,0.0
79,10407,57.6000003815,2.0,0.0,0.0,0.5
80,10409,51.5499992371,2.0,0.0,0.0,0.5
81,10411,46.0,1.0,0.0,0.0,1.0
82,10415,59.8499984741,2.0,0.0,0.0,0.0
83,10416,66.3000011445,2.0,1.0,0.0,0.0
84,10421,47.0,1.0,0.0,0.0,1.0
85,10437,60.75,2.0,1.0,0.0,0.0
86,10455,57.7000007629,2.0,0.0,0.0,0.0
87,10461,58.3500003815,2.0,0.0,0.0,0.0
88,10465,62.5,2.0,0.0,0.0,0.0
