,ID,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
0,45,47.0,0.0,1.0,1.0,0.0
1,215,63.0999984741,0.0,0.0,1.0,0.0
2,343,52.2000007629,0.0,1.0,1.0,0.0
3,356,59.9000015259,0.0,0.0,1.0,0.0
4,398,65.0999984741,0.0,0.0,1.0,1.0
5,429,49.0,0.0,1.0,1.0,0.0
6,474,55.375,0.0,0.5,2.0,0.5
7,526,65.0,0.0,0.0,1.0,1.0
8,644,64.2000007629,0.0,0.0,2.0,1.0
9,645,54.2000007629,0.0,0.5,2.0,0.0
10,665,48.5,0.0,1.0,1.0,0.0
11,735,65.0999984741,0.0,0.0,1.0,0.0
12,736,55.2749996185,0.0,0.5,2.0,0.0
13,768,65.8500022889,0.0,0.0,2.0,1.0
14,827,47.25,0.0,1.0,1.0,0.0
15,894,54.9000015259,0.0,0.0,1.0,0.0
16,1061,59.2999992371,0.0,0.0,2.0,0.0
17,1234,62.4000015259,0.0,0.0,1.0,1.0
18,1289,65.6500015259,0.0,0.0,2.0,0.0
19,1295,49.25,0.0,1.0,1.0,0.0
20,1346,48.75,0.0,1.0,1.0,0.0
21,1355,66.5,0.0,0.0,1.0,1.0
22,1376,61.0999984741,0.0,0.0,1.0,0.0
23,1497,54.7999992371,0.0,0.5,2.0,0.0
24,1517,47.0,0.0,1.0,1.0,0.0
25,1557,47.75,0.0,1.0,1.0,0.0
26,1670,62.1499996185,0.0,0.0,2.0,0.5
27,1752,64.8000011445,0.0,0.0,2.0,1.0
28,1846,62.7000007629,0.0,0.0,1.0,0.0
29,1847,60.5999984741,0.0,0.0,1.0,1.0
30,1848,66.1999969482,0.0,0.0,2.0,0.5
31,1858,59.883333842,0.0,0.333333333333,3.0,0.333333333333
32,1963,48.0,0.0,1.0,1.0,0.0
33,2011,66.0,0.0,0.0,1.0,1.0
34,2221,70.1999969482,1.0,0.0,1.0,1.0
35,2267,61.7999992371,0.0,0.0,1.0,1.0
36,2269,53.2333335876,0.0,0.666666666667,3.0,0.0
37,2271,49.75,0.0,1.0,1.0,0.0
38,2277,49.25,0.0,1.0,1.0,0.0
39,2436,47.0,0.0,1.0,1.0,0.0
40,2454,59.8500003815,0.0,0.0,2.0,0.0
41,2457,76.4000015259,1.0,0.0,1.0,1.0
42,2459,47.0,0.0,1.0,1.0,0.0
43,2509,61.5999984741,0.0,0.0,1.0,0.0
44,2515,62.1499996185,0.0,0.0,2.0,1.0
45,2519,67.5,0.0,0.0,1.0,1.0
46,2520,64.0999984741,0.0,0.0,1.0,1.0
47,2523,59.0,0.0,0.0,1.0,0.0
48,2627,56.9500007629,0.0,0.0,2.0,0.0
49,2675,60.4499998093,0.0,0.0,4.0,0.25
50,2958,61.5999984741,0.0,0.0,1.0,1.0
51,3028,66.1999969482,0.0,0.0,1.0,0.0
52,3053,47.0,0.0,1.0,1.0,0.0
53,3068,58.5999997457,0.0,0.0,3.0,0.333333333333
54,3106,49.5,0.0,1.0,1.0,0.0
55,3126,62.0,0.0,0.0,1.0,1.0
56,3135,60.0999984741,0.0,0.0,1.0,0.0
57,3137,65.1999969482,0.0,0.0,1.0,1.0
58,3159,62.0,0.0,0.0,1.0,0.0
59,3196,61.5999984741,0.0,0.0,1.0,1.0
60,3219,67.8000030518,0.0,0.0,1.0,0.0
61,3248,55.683333079,0.0,0.333333333333,3.0,0.0
62,3251,63.6000010173,0.0,0.0,3.0,0.333333333333
63,3269,58.9000015259,0.0,0.0,1.0,0.0
64,3271,56.7000007629,0.0,0.0,1.0,0.0
65,3285,65.5999984741,0.0,0.0,1.0,0.0
66,3288,48.25,0.0,1.0,1.0,0.0
67,3289,49.75,0.0,1.0,1.0,0.0
68,3298,68.9499969482,0.5,0.0,2.0,1.0
69,3313,57.9000015259,0.0,0.0,1.0,0.0
70,3320,47.75,0.0,1.0,1.0,0.0
71,3322,61.0,0.0,0.0,1.0,1.0
72,3334,47.5,0.0,1.0,1.0,0.0
73,3353,63.0999984741,0.0,0.0,1.0,0.0
74,3431,62.0,0.0,0.0,1.0,0.0
75,3440,49.0,0.0,1.0,1.0,0.0
76,3574,67.1999969482,0.0,0.0,1.0,1.0
