,ID,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,GENDER,DIPPERC,AGE,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
90,11347,publique,mululusake,pedagogie,FPSE,NORD-KIVU,F,55.0,22,46.0,G,A,1.0,G
143,7026,publique,butembo,pedagogie,FPSE,NORD-KIVU,H,60.0,24,48.9500007629,G,D,2.0,G
146,8487,publique,butembo,pedagogie,FPSE,NORD-KIVU,F,57.0,24,59.6000003815,G,G,4.0,F
153,10434,publique,butembo,pedagogie,FPSE,NORD-KIVU,F,59.0,23,59.7000007629,G,G,2.0,A
211,7487,publique,chemchem,coupe couture,FPSE,NORD-KIVU,F,52.0,35,55.1499996185,G,D,2.0,G
213,8789,publique,chemchem,pedagogie,FPSE,MANIEMA,H,62.0,26,53.7000007629,G,D,2.0,G
236,10399,publique,ndosho,pedagogie,FPSE,NORD-KIVU,F,55.0,28,59.0999984741,G,G,2.0,G
241,10788,publique,ndosho,pedagogie,FPSE,NORD-KIVU,H,55.0,23,49.0,G,A,1.0,G
257,5100,protestant,himbi,pedagogie,FPSE,SUD-KIVU,F,51.0,37,59.0,G,G,2.0,G
265,6708,protestant,himbi,pedagogie,FPSE,NORD-KIVU,F,55.0,27,63.3666648865,G,G,3.0,A
274,8266,protestant,himbi,latin philo,FPSE,NORD-KIVU,F,54.0,23,61.25,G,G,4.0,D
277,8691,protestant,himbi,latin philo,FPSE,NORD-KIVU,F,57.0,23,68.366666158,E,G,3.0,A
290,9246,protestant,himbi,pedagogie,FPSE,NORD-KIVU,F,56.0,26,62.3000005086,G,G,3.0,C
309,10580,protestant,himbi,latin philo,FPSE,NORD-KIVU,H,53.0,30,57.7000007629,G,G,2.0,G
311,10680,protestant,himbi,pedagogie,FPSE,NORD-KIVU,F,58.0,25,59.3000011444,G,G,2.0,D
339,9109,catholique,kambali,latin philo,FPSE,NORD-KIVU,H,64.0,25,67.633333842,C,G,3.0,C
352,10466,publique,Mugunga,sociale,FPSE,NORD-KIVU,F,57.0,23,55.9500007629,G,G,2.0,G
426,10049,protestant,amkeni,pedagogie,FPSE,NORD-KIVU,F,51.0,35,68.8499984741,D,G,2.0,A
428,45,protestant,maendeleo,pedagogie,FPSE,NORD-KIVU,H,50.0,45,43.0,G,A,1.0,G
451,5731,protestant,maendeleo,pedagogie,FPSE,NORD-KIVU,F,57.0,26,64.4333343506,G,G,3.0,E
491,8559,protestant,maendeleo,sociale,FPSE,NORD-KIVU,F,50.0,29,45.0,G,A,1.0,G
499,8932,protestant,maendeleo,pedagogie,FPSE,NORD-KIVU,H,51.0,23,53.6666666667,G,E,3.0,G
531,10651,protestant,maendeleo,commmerciale et adm,FPSE,NORD-KIVU,H,54.0,22,41.0,G,A,1.0,G
561,4271,publique,ngoma,pedagogie,FPSE,NORD-KIVU,H,57.0,28,60.5,G,G,1.0,A
562,4544,publique,ngoma,pedagogie,FPSE,SUD-KIVU,F,50.0,27,63.1999988555,G,G,2.0,D
565,5033,publique,ngoma,pedagogie,FPSE,NORD-KIVU,H,61.0,28,66.5,G,G,1.0,A
646,10835,publique,ngoma,sociale,FPSE,SUD-KIVU,H,50.0,25,50.2000007629,G,D,2.0,D
667,6822,protestant,kishanga,pedagogie,FPSE,NORD-KIVU,F,53.0,40,62.6333325704,G,G,3.0,C
675,9749,protestant,kishanga,pedagogie,FPSE,NORD-KIVU,H,52.0,49,64.4666659037,G,G,3.0,E
735,3789,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,H,53.0,31,66.5999984741,G,G,1.0,A
777,4955,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,H,53.0,31,65.1999969482,G,G,1.0,G
781,5034,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,F,53.0,29,60.0,G,G,1.0,A
782,5072,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,H,54.0,27,63.2999992371,G,G,1.0,G
841,7488,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,F,63.0,26,62.6666666667,G,G,3.0,C
844,7599,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,H,69.0,26,63.5249996185,F,G,4.0,B
898,9115,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,F,54.0,25,66.1999994914,G,G,3.0,E
909,9261,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,F,59.0,25,63.5,G,G,3.0,C
914,9358,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,H,55.0,22,71.3333307902,C,G,3.0,A
926,9559,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,F,63.0,23,70.4666671753,C,G,3.0,A
958,10176,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,H,54.0,21,59.5,G,G,2.0,A
965,10486,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,H,58.0,22,61.25,G,G,2.0,G
972,10607,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,F,57.0,25,59.9500007629,G,G,2.0,G
981,10760,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,F,71.0,24,64.5499992371,G,G,2.0,D
1010,11605,protestant,metanoia,latin philo,FPSE,NORD-KIVU,F,60.0,20,69.3000030518,G,G,1.0,A
1017,11716,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,F,75.0,20,62.7000007629,G,G,1.0,A
1060,7027,privé,tisiesi,pedagogie,FPSE,NORD-KIVU,F,51.0,26,48.0,G,A,1.0,G
1082,12137,publique,de l'unite,pedagogie,FPSE,SUD-KIVU,H,61.0,26,67.5999984741,G,G,1.0,A
1106,3791,protestant,kalungu,pedagogie,FPSE,NORD-KIVU,F,50.0,55,65.3000030518,G,G,1.0,G
1112,5074,protestant,kalungu,pedagogie,FPSE,SUD-KIVU,F,55.0,32,55.0,G,G,1.0,G
1132,9288,protestant,kalungu,pedagogie,FPSE,SUD-KIVU,F,53.0,29,52.9500007629,G,D,2.0,G
1137,9750,protestant,kalungu,pedagogie,FPSE,NORD-KIVU,F,51.0,30,59.3000011444,G,G,2.0,G
1139,9972,protestant,kalungu,pedagogie,FPSE,NORD-KIVU,F,56.0,21,56.4000015259,G,G,2.0,G
1154,12173,publique,kalungu,pedagogie,FPSE,SUD-KIVU,F,50.0,22,57.5999984741,G,G,1.0,G
1179,7040,catholique,malikia wa bingu,pedagogie,FPSE,SUD-KIVU,F,51.0,41,70.0750007629,D,G,4.0,A
