,ID,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,GENDER,DIPPERC,AGE,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
51,10124,protestant,zanner,commmerciale et adm,FSTA,NORD-KIVU,H,50.0,21,47.0,G,A,1.0,G
58,10560,protestant,zanner,latin philo,FSTA,NORD-KIVU,H,51.0,22,42.0,G,A,1.0,G
72,11697,protestant,zanner,commmerciale et adm,FSTA,NORD-KIVU,F,52.0,22,45.0999984741,G,A,1.0,G
78,3289,publique,edap/isp,math-physique,FSTA,SUD-KIVU,H,61.0,32,47.0,G,A,1.0,G
79,3691,publique,edap/isp,commmerciale et adm,FSTA,SUD-KIVU,H,59.0,30,64.3000011445,G,G,2.0,G
80,4617,publique,edap/isp,bio-chimie,FSTA,SUD-KIVU,H,61.0,25,75.0,A,G,2.0,D
81,6626,publique,edap/isp,math-physique,FSTA,SUD-KIVU,H,62.0,25,62.2666676839,G,G,3.0,G
82,7611,publique,edap/isp,bio-chimie,FSTA,SUD-KIVU,H,55.0,24,56.3333320618,G,E,3.0,C
84,9309,publique,edap/isp,math-physique,FSTA,SUD-KIVU,F,50.0,25,58.0999997457,G,G,3.0,E
87,11525,publique,edap/isp,math-physique,FSTA,NORD-KIVU,H,60.0,22,54.2000007629,G,G,1.0,G
91,11662,publique,mululusake,pedagogie,FSTA,NORD-KIVU,H,73.0,19,68.5,G,G,1.0,A
94,3440,publique,ibanda,pedagogie,FSTA,SUD-KIVU,H,50.0,30,41.0,G,A,1.0,G
95,3643,publique,ibanda,pedagogie,FSTA,SUD-KIVU,H,60.0,30,58.1666666667,G,G,3.0,G
103,6662,publique,ibanda,math-physique,FSTA,SUD-KIVU,H,68.0,25,60.3000005086,G,G,3.0,G
106,7672,publique,ibanda,bio-chimie,FSTA,SUD-KIVU,H,54.0,25,53.6499996185,G,D,2.0,G
107,7685,publique,ibanda,bio-chimie,FSTA,NORD-KIVU,H,60.0,26,52.8333333333,G,C,3.0,G
