,ID,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,GENDER,DIPPERC,AGE,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
89,8692,publique,mululusake,pedagogie,FT,SUD-KIVU,H,52.0,48,59.933333079,G,G,3.0,G
96,3651,publique,ibanda,commmerciale et adm,FT,SUD-KIVU,H,58.0,45,63.4000015259,G,G,1.0,G
160,11729,protestant,butembo,sociale,FT,NORD-KIVU,H,60.0,25,64.4000015259,G,G,1.0,G
223,7512,publique,ndosho,pedagogie,FT,NORD-KIVU,H,52.0,28,66.875,F,G,4.0,B
239,10686,publique,ndosho,pedagogie,FT,NORD-KIVU,H,52.0,24,57.1000003815,G,G,2.0,G
246,4653,protestant,matolu,sociale,FT,NORD-KIVU,H,51.0,38,64.6000003815,G,G,2.0,G
247,10907,protestant,matolu,pedagogie,FT,NORD-KIVU,F,50.0,28,59.4499988556,G,G,2.0,G
296,9599,protestant,himbi,latin philo,FT,NORD-KIVU,F,59.0,29,60.0333340963,G,G,3.0,G
319,11632,protestant,himbi,latin philo,FT,NORD-KIVU,H,65.0,22,67.0,G,G,1.0,A
321,11659,protestant,himbi,commmerciale et adm,FT,NORD-KIVU,F,52.0,20,67.9000015259,G,G,1.0,A
325,11889,protestant,himbi,pedagogie,FT,NORD-KIVU,H,54.0,22,61.9000015259,G,G,1.0,G
362,10704,catholique,mwanga/ uvira,latin philo,FT,NORD-KIVU,H,51.0,23,60.6000003815,G,G,2.0,G
422,1376,protestant,amkeni,pedagogie,FT,NORD-KIVU,H,51.0,38,61.0999984741,G,G,1.0,G
423,8343,protestant,amkeni,pedagogie,FT,NORD-KIVU,H,58.0,40,62.566666921,G,G,3.0,E
425,9596,protestant,amkeni,pedagogie,FT,NORD-KIVU,H,53.0,23,62.6333325704,G,G,3.0,E
427,11593,protestant,amkeni,sociale,FT,NORD-KIVU,H,50.0,25,48.7999992371,G,A,1.0,G
447,5217,protestant,maendeleo,bio-chimie,FT,SUD-KIVU,H,52.0,51,66.5999984741,G,G,2.0,D
571,6760,publique,ngoma,pedagogie,FT,NORD-KIVU,H,58.0,30,70.9666646321,C,G,3.0,A
582,7865,publique,ngoma,math-physique,FT,NORD-KIVU,H,51.0,35,53.5999997457,G,E,3.0,G
591,8792,publique,ngoma,pedagogie,FT,NORD-KIVU,H,50.0,46,67.8000030518,G,G,1.0,G
598,9274,publique,ngoma,commmerciale et adm,FT,NORD-KIVU,H,56.0,26,71.1999994914,E,G,3.0,A
601,9598,publique,ngoma,pedagogie,FT,NORD-KIVU,H,54.0,36,61.1999994914,G,G,3.0,E
668,8160,protestant,kishanga,pedagogie,FT,NORD-KIVU,H,57.0,35,62.25,G,G,4.0,B
669,8504,protestant,kishanga,pedagogie,FT,NORD-KIVU,H,62.0,28,44.0,G,A,1.0,G
671,9111,protestant,kishanga,pedagogie,FT,NORD-KIVU,H,59.0,33,60.8333320618,G,G,3.0,G
672,9140,protestant,kishanga,sociale,FT,NORD-KIVU,H,52.0,26,61.3000011444,G,G,2.0,G
677,10615,protestant,kishanga,pedagogie,FT,NORD-KIVU,H,52.0,31,63.1000003815,G,G,2.0,G
678,12157,protestant,kishanga,pedagogie,FT,SUD-KIVU,H,54.0,21,59.5,G,G,1.0,G
772,4642,protestant,metanoia,bio-chimie,FT,NORD-KIVU,F,58.0,29,69.4500007629,D,G,2.0,D
1043,10525,privé,tumba,pedagogie,FT,ORIENTALE,H,58.0,56,61.2999992371,G,G,2.0,G
1057,4643,publique,mabula,pedagogie,FT,SUD-KIVU,H,53.0,28,65.4000015259,G,G,2.0,A
1067,4639,protestant,chidasa,pedagogie,FT,NORD-KIVU,F,53.0,27,67.5,G,G,2.0,D
1070,8588,protestant,chidasa,pedagogie,FT,SUD-KIVU,H,63.0,26,65.133333842,G,G,3.0,E
1116,6739,protestant,kalungu,pedagogie,FT,NORD-KIVU,H,51.0,37,58.4500007629,G,G,2.0,G
