,Unnamed: 0,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
0,0,PEDAGOGIEQUE,peda generale,institut maendeleo,inconnu,maendeleo,maendeleo,pedagogie
1,1,SCIENTIFIQUE,math-physique,institut vungi,inconnu,vungi,vungi,math-physique
2,2,SCIENTIFIQUE,math physique,institut faraja,inconnu,faraja,faraja,math-physique
3,3,ECONOMIE ET COMMERCE,economie,esise/gisenyi,inconnu,esise/gisenyi,esise/gisenyi,economie
4,4,TECHNIQUE,commerciale et administrative,"c,s, umoja",inconnu,"c,s, umoja","c,s, umoja",commmerciale et adm
5,5,inconnu,inconnu,inst. maendeleo,inconnu,maendeleo,maendeleo,inconnu
6,6,PEDAGOGIEQUE,peda generale,inst. mpinga,inconnu,mpinga,inst. mpinga,pedagogie
7,7,LITTERAIRE,latin philo,inst tupendane/kolwezi,inconnu,tupendane/kolwezi,tupendane fec,latin philo
8,8,TECHNIQUE,sociale,institut mikeno,inconnu,mikeno,mikeno nc,sociale
9,9,TEC,ca,auto,inconnu,auto,auto,commmerciale et adm
10,10,PEDAGOGIEQUE,peda generale,institut mont goma,inconnu,mont goma,ngoma,pedagogie
11,11,inconnu,inconnu,institut mwanga,inconnu,mwanga,mwanga,inconnu
12,12,PED,pg,buturande,inconnu,buturande,bulera,pedagogie
13,13,SCIENTIFIQUE,chimie biologie,inst. kiwele,inconnu,kiwele,kiwele,bio-chimie
14,14,PEDAGOGIEQUE,peda generale,institut visoke,inconnu,visoke,visoke,pedagogie
15,15,PEDAGOGIEQUE,peda generale,institut visoke,inconnu,visoke,visoke,pedagogie
16,16,PEDAGOGIEQUE,peda generale,inst amkeni,inconnu,amkeni,amkeni,pedagogie
17,17,MECANIQUE,mecanique generale,itig,inconnu,itig,itig,mec gene
18,18,TECHNIQUE INDUSTRIELLE,electricite,itig,inconnu,itig,itig,elec
19,19,TECHNIQUE,commerciale adm,inst imaki/kirumba,inconnu,imaki/kirumba,imaki/kirumba,commmerciale et adm
20,20,Technique,sociale,cs suka lapereaux,inconnu,suka lapereaux,la pereaux,sociale
21,21,Pédagogique,pédagogie générale,buturande,inconnu,buturande,bulera,pedagogie
22,22,LITT,lp,institut de bukavu,inconnu,de bukavu,de bukavu,latin philo
23,23,SCIENTIFIQUE,bio chimie,institut majengo,inconnu,majengo,majengo,bio-chimie
24,24,PEDAGOGIEQUE,peda generale,institut visoke,inconnu,visoke,visoke,pedagogie
25,25,SCIENTIFIQUE,math physique,inst kitumaini,inconnu,kitumaini,kitumaini,math-physique
26,26,PEDAGOGIEQUE,peda generale,inst luhihi,inconnu,luhihi,muhini,pedagogie
27,27,PEDAGOGIEQUE,peda generale,institut nyabushongo,inconnu,nyabushongo,nyabushongo,pedagogie
28,28,SCIENTIFIQUE,bio chimie,institut kyeshero,inconnu,kyeshero,kyeshero,bio-chimie
29,29,PEDAGOGIEQUE,peda generale,mont amba,inconnu,mont amba,mont caemel,pedagogie
30,30,PEDAGOGIEQUE,peda generale,c.s. lumiere,inconnu,c.s. lumiere,lumiere,pedagogie
31,31,TECHNIQUE,sociale,lycee chemchem,inconnu,chemchem,chemchem,sociale
32,32,MECA,machine outil,itfm/bkv,inconnu,itfm/bkv,itfm/bukavu,machine outil
33,33,TECHNIQUE,electricite industr,institut techn. f. maendeleo,inconnu,techn. f. maendeleo,techn. f. maendeleo,elec indust
34,34,MECANIQUE,electricite,institut mahamba,inconnu,mahamba,mahamba,elec
35,35,TECH,ca,i d'ibanda,inconnu,d'ibanda,ibanda,commmerciale et adm
36,36,PEDAGOGIEQUE,peda generale,institut lwanga,inconnu,lwanga,institut lwanga,pedagogie
37,37,SCIENTIFIQUE,math physique,inst majengo,inconnu,majengo,majengo,math-physique
38,38,TECHNIQUE,mecanique generale,itg.inst. tech. indust de goma,inconnu,itg.inst. tech. indust de goma,itg.inst. tech. indust de goma,mec gene
39,39,PEDAGOGIEQUE,peda generale,institut tongil,inconnu,tongil,tobongisa,pedagogie
40,40,Pédagogique,pédagogie générale,visoke,inconnu,visoke,visoke,pedagogie
41,41,TECHNIQUE,sociale,groupe scol. ndbc de byumba,inconnu,groupe scol. ndbc de byumba,groupe scol. ndbc de byumba,sociale
42,42,LITTERAIRE,latin philo,institut mwanga,inconnu,mwanga,mwanga,latin philo
43,43,Technique,sociale,mikeno isl,inconnu,mikeno isl,mikeno isl,sociale
44,44,PEDAGOGIEQUE,peda generale,inst minova,inconnu,minova,milima,pedagogie
45,45,PEDAGOGIEQUE,peda generale,inst bukinanyana,inconnu,bukinanyana,bukinanyana,pedagogie
46,46,PEDAGOGIEQUE,peda generale,inst ufamandu,inconnu,ufamandu,ufamandu,pedagogie
47,47,PEDAGOGIEQUE,peda generale,autodidacte,inconnu,autodidacte,autodidacte,pedagogie
48,48,LITTERAIRE,latinphilo,institut mwanga,inconnu,mwanga,mwanga,latin philo
49,49,PEDAGOGIEQUE,pËda generale,inst bora,inconnu,bora,moria,pedagogie
50,50,LITTERAIRE,latin philo,inst maendeleo,inconnu,maendeleo,maendeleo,latin philo
51,51,SC,mp,majengo,inconnu,majengo,majengo,math-physique
52,52,PEDAGOGIEQUE,peda generale,inst kashofu,inconnu,kashofu,kashofu,pedagogie
53,53,SCIENTIFIQUE,bio chimie,lycee mwandu,inconnu,mwandu,lycee mwandu,bio-chimie
54,54,SCIENTIFIQUE,math physique,inst majengo,inconnu,majengo,majengo,math-physique
