,ID,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,GENDER,DIPPERC,AGE,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
20,7365,protestant,zanner,latin philo,FSDC,NORD-KIVU,F,62.0,24,63.4000002543,G,G,3.0,A
74,11712,protestant,zanner,latin philo,FSDC,NORD-KIVU,H,54.0,22,60.0,G,G,1.0,A
92,11862,publique,mululusake,sociale,FSDC,NORD-KIVU,H,54.0,22,61.9000015259,G,G,1.0,G
104,7003,publique,ibanda,bio-chimie,FSDC,SUD-KIVU,H,50.0,35,62.7000007629,G,G,1.0,G
105,7354,publique,ibanda,commmerciale et adm,FSDC,NORD-KIVU,F,62.0,30,42.0,G,A,1.0,G
108,7707,publique,ibanda,bio-chimie,FSDC,SUD-KIVU,F,53.0,28,60.7999992371,G,G,2.0,G
116,10355,publique,ibanda,pedagogie,FSDC,SUD-KIVU,F,58.0,24,48.0,G,A,1.0,G
122,11631,publique,ibanda,bio-chimie,FSDC,NORD-KIVU,H,51.0,30,47.0,G,A,1.0,G
129,12200,privé,frere alimba,bio-chimie,FSDC,KINSHASA,H,55.0,26,59.7000007629,G,G,1.0,G
133,9558,catholique,iti gombe,vétérinaire,FSDC,ORIENTALE,H,51.0,31,63.6666679382,G,G,3.0,G
149,9275,publique,butembo,sociale,FSDC,NORD-KIVU,H,51.0,30,54.0,G,A,1.0,G
152,10271,publique,butembo,pedagogie,FSDC,NORD-KIVU,F,50.0,27,58.3999996185,G,G,2.0,G
155,10892,publique,butembo,math-physique,FSDC,NORD-KIVU,H,52.0,28,61.9500007629,G,G,2.0,D
156,10931,publique,butembo,commmerciale et adm,FSDC,NORD-KIVU,H,53.0,27,59.8999996185,G,G,2.0,G
163,12166,publique,butembo,pedagogie,FSDC,NORD-KIVU,F,51.0,22,57.7999992371,G,G,1.0,G
168,4873,protestant,masisi,pedagogie,FSDC,NORD-KIVU,H,55.0,25,64.3500003815,G,G,2.0,D
172,2277,publique,chemchem,sociale,FSDC,NORD-KIVU,F,62.0,31,41.0,G,A,1.0,G
175,3963,publique,chemchem,inconnu,FSDC,NORD-KIVU,F,57.0,28,63.0,G,G,1.0,G
179,4483,publique,chemchem,nutr,FSDC,NORD-KIVU,F,58.0,26,49.6000003815,G,D,2.0,G
180,4603,publique,chemchem,nutr,FSDC,NORD-KIVU,F,55.0,27,46.0,G,A,1.0,G
181,4727,publique,chemchem,nutr,FSDC,NORD-KIVU,F,62.0,26,63.7000007629,G,G,1.0,A
182,4759,publique,chemchem,diet,FSDC,NORD-KIVU,H,61.0,27,61.7999992371,G,G,1.0,G
183,4763,publique,chemchem,nutr,FSDC,NORD-KIVU,F,59.0,27,63.2000007629,G,G,1.0,A
185,4771,publique,chemchem,nutr,FSDC,NORD-KIVU,F,57.0,28,48.6499996185,G,D,2.0,D
186,4780,publique,chemchem,diet,FSDC,NORD-KIVU,F,59.0,26,58.7999992371,G,A,1.0,G
187,4790,publique,chemchem,sociale,FSDC,NORD-KIVU,F,54.0,28,40.0,G,A,1.0,G
190,5163,publique,chemchem,nutr,FSDC,NORD-KIVU,F,56.0,27,60.4000015259,G,G,1.0,G
191,5651,publique,chemchem,nutr,FSDC,NORD-KIVU,F,52.0,25,52.2000007629,G,D,2.0,G
192,5667,publique,chemchem,sociale,FSDC,NORD-KIVU,F,54.0,28,62.6000003815,G,G,2.0,G
200,6534,publique,chemchem,nutr,FSDC,NORD-KIVU,F,56.0,27,61.7000007629,G,G,1.0,A
201,6536,publique,chemchem,nutr,FSDC,NORD-KIVU,F,56.0,24,65.6999969482,G,G,1.0,A
202,6635,publique,chemchem,sociale,FSDC,NORD-KIVU,F,57.0,26,67.2000007629,D,G,2.0,G
203,6642,publique,chemchem,nutr,FSDC,NORD-KIVU,F,56.0,27,59.4333343506,G,E,3.0,G
205,6761,publique,chemchem,nutr,FSDC,NORD-KIVU,F,50.0,26,61.75,G,G,2.0,G
206,6762,publique,chemchem,nutr,FSDC,NORD-KIVU,F,56.0,26,62.7333335877,G,G,3.0,E
207,6763,publique,chemchem,nutr,FSDC,NORD-KIVU,F,50.0,25,62.0500011445,G,G,2.0,G
208,6932,publique,chemchem,sociale,FSDC,NORD-KIVU,F,54.0,28,60.5,G,G,2.0,G
210,7380,publique,chemchem,coupe couture,FSDC,KINSHASA,F,55.0,24,59.9000015259,G,G,1.0,G
212,8390,publique,chemchem,coupe couture,FSDC,NORD-KIVU,F,55.0,32,40.0,G,A,1.0,G
216,9747,publique,chemchem,latin philo,FSDC,MANIEMA,H,52.0,26,61.9333343506,G,G,3.0,G
217,10447,publique,chemchem,coupe couture,FSDC,NORD-KIVU,F,64.0,21,64.75,G,G,2.0,D
218,10526,publique,chemchem,coupe couture,FSDC,NORD-KIVU,F,62.0,21,62.3999996185,G,G,2.0,D
228,9244,publique,ndosho,sociale,FSDC,NORD-KIVU,H,57.0,23,60.6666653951,G,G,3.0,G
229,9258,publique,ndosho,sociale,FSDC,NORD-KIVU,F,58.0,22,52.0,G,A,1.0,G
231,9361,publique,ndosho,sociale,FSDC,NORD-KIVU,F,52.0,24,47.0,G,A,1.0,G
232,9533,publique,ndosho,pedagogie,FSDC,NORD-KIVU,F,64.0,23,62.1999994914,G,G,3.0,E
242,10887,publique,ndosho,pedagogie,FSDC,NORD-KIVU,F,50.0,23,54.5,G,A,1.0,G
254,4698,protestant,himbi,pedagogie,FSDC,SUD-KIVU,F,57.0,25,60.2000007629,G,G,1.0,G
256,5012,protestant,himbi,latin philo,FSDC,NORD-KIVU,F,57.0,28,60.7999992371,G,G,1.0,G
273,8232,protestant,himbi,pedagogie,FSDC,NORD-KIVU,F,59.0,26,58.5499992371,G,G,2.0,A
275,8299,protestant,himbi,latin philo,FSDC,NORD-KIVU,F,57.0,26,60.7333335876,G,G,3.0,G
278,8755,protestant,himbi,latin philo,FSDC,NORD-KIVU,F,60.0,24,62.1666679383,G,G,3.0,G
282,9077,protestant,himbi,pedagogie,FSDC,NORD-KIVU,F,54.0,27,61.8499984741,G,G,2.0,G
