,Faculte,Dimensions,MODEL,RMSE Train,CVSCORE Mean,CVSCORE Std,RMSE Test,STACK_RES
0, , ,ElasticNet,0.05 : 9.51%,0.069  : 12.25%,0.0046,0.07 : 12.089%, 
1, , ,Ridge,0.06 : 10.26%,0.071  : 12.49%,0.0050,0.07 : 12.020%, 
2,FSTA,"(903, 243)",LinearSVR,0.06 : 9.95%,0.071  : 12.56%,0.0052,0.07 : 12.102%,0.054 : 9.510%
3, , ,SVR,0.07 : 12.51%,0.072  : 12.77%,0.0042,0.07 : 12.063%, 
4, , ,Lasso,0.05 : 9.53%,0.072  : 12.83%,0.0079,0.07 : 12.516%, 
5, , ,ElasticNet,0.03 : 4.19%,0.073  : 11.76%,0.0172,0.07 : 11.178%, 
6, , ,Ridge,0.04 : 7.06%,0.083  : 13.40%,0.0116,0.09 : 14.854%, 
7,FT,"(140, 105)",LinearSVR,0.04 : 5.91%,0.080  : 12.92%,0.0114,0.09 : 13.885%,0.026 : 4.190%
8, , ,SVR,0.06 : 8.96%,0.058  : 9.40%,0.0092,0.06 : 9.961%, 
9, , ,Lasso,0.03 : 4.20%,0.106  : 17.02%,0.0400,0.07 : 11.334%, 
10, , ,ElasticNet,0.04 : 7.07%,0.050  : 8.69%,0.0040,0.05 : 8.532%, 
11, , ,Ridge,0.05 : 7.90%,0.055  : 9.70%,0.0060,0.05 : 9.584%, 
12,FSEG,"(1549, 286)",LinearSVR,0.04 : 7.55%,0.055  : 9.68%,0.0072,0.05 : 9.540%,0.040 : 7.060%
13, , ,SVR,0.05 : 8.84%,0.051  : 8.92%,0.0038,0.05 : 8.757%, 
14, , ,Lasso,0.04 : 7.10%,0.057  : 10.00%,0.0126,0.06 : 10.197%, 
15, , ,ElasticNet,0.04 : 6.36%,0.054  : 9.02%,0.0046,0.06 : 9.319%, 
16, , ,Ridge,0.05 : 7.75%,0.062  : 10.36%,0.0069,0.06 : 9.740%, 
17,FSDC,"(758, 257)",LinearSVR,0.04 : 7.30%,0.062  : 10.45%,0.0068,0.06 : 9.752%,0.038 : 6.360%
18, , ,SVR,0.05 : 9.18%,0.055  : 9.27%,0.0037,0.06 : 9.616%, 
19, , ,Lasso,0.04 : 6.38%,0.069  : 11.56%,0.0209,0.06 : 9.243%, 
20, , ,ElasticNet,0.04 : 7.12%,0.060  : 10.33%,0.0049,0.06 : 10.561%, 
21, , ,Ridge,0.05 : 8.24%,0.066  : 11.25%,0.0084,0.06 : 11.065%, 
22,FD,"(896, 300)",LinearSVR,0.05 : 7.75%,0.066  : 11.29%,0.0088,0.07 : 11.116%,0.042 : 7.113%
23, , ,SVR,0.06 : 9.96%,0.060  : 10.16%,0.0039,0.06 : 10.145%, 
24, , ,Lasso,0.04 : 7.14%,0.071  : 12.08%,0.0143,0.06 : 10.541%, 
25, , ,ElasticNet,0.04 : 6.13%,0.054  : 9.24%,0.0077,0.06 : 9.624%, 
26, , ,Ridge,0.04 : 7.26%,0.059  : 10.08%,0.0138,0.07 : 11.986%, 
27,FM,"(242, 111)",LinearSVR,0.04 : 6.73%,0.057  : 9.81%,0.0127,0.07 : 11.948%,0.036 : 6.131%
28, , ,SVR,0.05 : 9.43%,0.056  : 9.56%,0.0075,0.06 : 10.759%, 
29, , ,Lasso,0.04 : 6.14%,0.057  : 9.82%,0.0118,0.08 : 14.068%, 
30, , ,ElasticNet,0.04 : 6.42%,0.070  : 11.62%,0.0070,0.06 : 9.411%, 
31, , ,Ridge,0.05 : 8.49%,0.081  : 13.47%,0.0157,0.06 : 9.866%, 
32,FPSE,"(227, 119)",LinearSVR,0.05 : 7.61%,0.079  : 13.19%,0.0135,0.06 : 9.664%,0.039 : 6.421%
33, , ,SVR,0.06 : 10.62%,0.067  : 11.20%,0.0079,0.05 : 8.951%, 
34, , ,Lasso,0.04 : 6.42%,0.076  : 12.70%,0.0221,0.05 : 9.114%, 
