IDENTIFICATION,BIRTHDAY,NAME,DIPLOMDATE,DIPLOMTYPE,DIPLOMMENTION,DIPLOMPERCENTAGE,DIPLOMSECTION,DIPLOMOPTION,DIPLOMPLACE,SCHOOL,SCHOOLPROVINCE,SCHOOLCODE,SCHOOLSTATUS,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
215,1978-09-07,F,,DIPLÔME D'ETAT,,58,SCIENTIFIQUE,MATH-PHYSIQUE,,INSTITUT VUNGI,NORD-KIVU,INSTITUT VUNGI,inconnu,2012-2013,,ADMIS AU MEMOIRE,63.099998474121094,SATISFACTION,Faculté de Droit,Droit Privé et Judiciaire,L2
343,1973-03-04,H,1999-11-15,DIPLÔME D'ETAT,,54,SCIENTIFIQUE,MATH PHYSIQUE,KINSHASA,INSTITUT FARAJA,NORD-KIVU,INSTITUT FARAJA,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,52.20000076293945,AJOURNE,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
356,1978-03-02,H,1997-12-24,DIPLÔME D'ETAT DU RWANDA,,60,ECONOMIE ET COMMERCE,ECONOMIE,GISENYI,ESISE/GISENYI,inconnu,ESISE/GISENYI,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,59.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
429,1973-01-11,H,,DIPLÔME D'ETAT,,0,TECHNIQUE,COMMERCIALE ET ADMINISTRATIVE,,"C,S, UMOJA",NORD-KIVU,"C,S, UMOJA",inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté de Droit,Tronc commun,G1
645,1979-11-24,H,1999-10-09,DIPLÔME D'ETAT,,53,LITTERAIRE,LATIN PHILO,KINSHASA,INST TUPENDANE/KOLWEZI,KATANGA,INST TUPENDANE/KOLWEZI,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,61.400001525878906,SATISFACTION,Faculté de Droit,Droit Public,L1
645,1979-11-24,H,1999-10-09,DIPLÔME D'ETAT,,53,LITTERAIRE,LATIN PHILO,KINSHASA,INST TUPENDANE/KOLWEZI,KATANGA,INST TUPENDANE/KOLWEZI,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,,NON ADMISSIBLE DS LA MEME FILIERE,Faculté de Droit,Droit Public,L2
665,1979-11-03,H,2001-04-30,DIPLÔME D'ETAT,,52,TECHNIQUE,SOCIALE,KINSHASA,INSTITUT MIKENO,NORD-KIVU,INSTITUT MIKENO,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
735,1965-09-02,H,,inconnu,,0,inconnu,inconnu,,,inconnu,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,65.0999984741211,SATISFACTION,Faculté de Santé et Développement Communautaires,Santé et Développement Communautaires,L2
736,1961-07-07,H,,inconnu,,0,inconnu,inconnu,,,inconnu,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,60.79999923706055,SATISFACTION,Faculté de Santé et Développement Communautaires,Santé et Développement Communautaires,L2
827,1962-04-15,H,,inconnu,,60,TEC,CA,,AUTO,NORD-KIVU,AUTO,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
894,1969-02-01,F,1991-07-02,DIPLÔME D'ETAT,,55,PEDAGOGIEQUE,PEDA GENERALE,KINSHASA,,inconnu,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,54.900001525878906,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Sciences de l'Éducation,L1
1061,1979-02-18,H,,DIPLÔME D'ETAT,,51,PEDAGOGIEQUE,PEDA GENERALE,,INSTITUT MONT GOMA,NORD-KIVU,INSTITUT MONT GOMA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
1061,1979-02-18,H,,DIPLÔME D'ETAT,,51,PEDAGOGIEQUE,PEDA GENERALE,,INSTITUT MONT GOMA,NORD-KIVU,INSTITUT MONT GOMA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,62.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
1289,1967-12-02,F,,inconnu,,52,PED,PG,,BUTURANDE,NORD-KIVU,BUTURANDE,inconnu,2013-2014,58.70000076293945,AJOURNE,63.0,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Sciences de l'Éducation,L1
1289,1967-12-02,F,,inconnu,,52,PED,PG,,BUTURANDE,NORD-KIVU,BUTURANDE,inconnu,2014-2015,,ADMIS AU MEMOIRE,68.30000305175781,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Sciences de l'Éducation,L2
1376,1979-06-24,H,,DIPLÔME D'ETAT,,51,PEDAGOGIEQUE,PEDA GENERALE,,INST AMKENI,NORD-KIVU,INST AMKENI,inconnu,2013-2014,61.099998474121094,ADMIS AU MEMOIRE,61.099998474121094,SATISFACTION,Faculté de Théologie,Tronc commun,L2
