,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS
0,45,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT MAENDELEO,inconnu
1,215,SCIENTIFIQUE,MATH-PHYSIQUE,INSTITUT VUNGI,inconnu
2,343,SCIENTIFIQUE,MATH PHYSIQUE,INSTITUT FARAJA,inconnu
3,356,ECONOMIE ET COMMERCE,ECONOMIE,ESISE/GISENYI,inconnu
4,429,TECHNIQUE,COMMERCIALE ET ADMINISTRATIVE,"C,S, UMOJA",inconnu
5,474,inconnu,inconnu,INST. MAENDELEO,inconnu
6,644,PEDAGOGIEQUE,PEDA GENERALE,INST. MPINGA,inconnu
7,645,LITTERAIRE,LATIN PHILO,INST TUPENDANE/KOLWEZI,inconnu
8,665,TECHNIQUE,SOCIALE,INSTITUT MIKENO,inconnu
9,827,TEC,CA,AUTO,inconnu
10,1061,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT MONT GOMA,inconnu
11,1234,inconnu,inconnu,INSTITUT MWANGA,inconnu
12,1289,PED,PG,BUTURANDE,inconnu
13,1295,SCIENTIFIQUE,CHIMIE BIOLOGIE,INST. KIWELE,inconnu
14,1346,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,inconnu
15,1355,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,inconnu
16,1376,PEDAGOGIEQUE,PEDA GENERALE,INST AMKENI,inconnu
17,1497,MECANIQUE,MECANIQUE GENERALE,ITIG,inconnu
18,1517,TECHNIQUE INDUSTRIELLE,ELECTRICITE,ITIG,inconnu
19,1670,TECHNIQUE,COMMERCIALE ADM,INST IMAKI/KIRUMBA,inconnu
20,1752,Technique,Sociale,CS SUKA LAPEREAUX,inconnu
21,1846,Pédagogique,Pédagogie Générale,Buturande,inconnu
22,1847,LITT,LP,INSTITUT DE BUKAVU,inconnu
23,1848,SCIENTIFIQUE,BIO CHIMIE,INSTITUT MAJENGO,inconnu
24,1858,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,inconnu
25,1963,SCIENTIFIQUE,MATH PHYSIQUE,INST KITUMAINI,inconnu
26,2011,PEDAGOGIEQUE,PEDA GENERALE,INST LUHIHI,inconnu
27,2221,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT NYABUSHONGO,inconnu
28,2267,SCIENTIFIQUE,BIO CHIMIE,INSTITUT KYESHERO,inconnu
29,2269,PEDAGOGIEQUE,PEDA GENERALE,MONT AMBA,inconnu
30,2271,PEDAGOGIEQUE,PEDA GENERALE,C.S. LUMIERE,inconnu
31,2277,TECHNIQUE,SOCIALE,LYCEE CHEMCHEM,inconnu
32,2436,MECA,MACHINE OUTIL,ITFM/BKV,inconnu
33,2457,TECHNIQUE,ELECTRICITE INDUSTR,INSTITUT TECHN. F. MAENDELEO,inconnu
34,2459,MECANIQUE,ELECTRICITE,INSTITUT MAHAMBA,inconnu
35,2509,TECH,CA,I D'IBANDA,inconnu
36,2515,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT LWANGA,inconnu
37,2519,SCIENTIFIQUE,MATH PHYSIQUE,INST MAJENGO,inconnu
38,2520,TECHNIQUE,MECANIQUE GENERALE,ITG.INST. TECH. INDUST DE GOMA,inconnu
39,2523,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT TONGIL,inconnu
40,2675,Pédagogique,Pédagogie Générale,Visoke,inconnu
41,2958,TECHNIQUE,SOCIALE,GROUPE SCOL. NDBC DE BYUMBA,inconnu
42,3028,LITTERAIRE,LATIN PHILO,INSTITUT MWANGA,inconnu
43,3053,Technique,Sociale,Mikeno Isl,inconnu
44,3068,PEDAGOGIEQUE,PEDA GENERALE,INST MINOVA,inconnu
45,3106,PEDAGOGIEQUE,PEDA GENERALE,INST BUKINANYANA,inconnu
46,3126,PEDAGOGIEQUE,PEDA GENERALE,INST UFAMANDU,inconnu
47,3135,PEDAGOGIEQUE,PEDA GENERALE,AUTODIDACTE,inconnu
48,3137,LITTERAIRE,LATINPHILO,INSTITUT MWANGA,inconnu
49,3159,PEDAGOGIEQUE,PËDA GENERALE,INST BORA,inconnu
50,3196,LITTERAIRE,LATIN PHILO,INST MAENDELEO,inconnu
51,3219,SC,MP,MAJENGO,inconnu
52,3248,PEDAGOGIEQUE,PEDA GENERALE,INST KASHOFU,inconnu
53,3251,SCIENTIFIQUE,BIO CHIMIE,LYCEE MWANDU,inconnu
54,3269,SCIENTIFIQUE,MATH PHYSIQUE,INST MAJENGO,inconnu
55,3271,PEDAGOGIEQUE,PEDA GENERALE,INST FARAJA,inconnu
56,3285,SCIENTIFIQUE,BIO CHIMIE,INSTITUT MWANGA,inconnu
57,3288,SCIENTIFIQUE,MATH PHYSIQUE,COLLEGE SAINT PAUL,inconnu
58,3289,SCIENTIFIQUE,MATH PHYSIQUE,EDAP/ISP,inconnu
59,3298,PEDAGOGIEQUE,PEDA GENERALE,INST LWANGA,inconnu
60,3313,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT BUTURANDE,inconnu
61,3320,TECHNIQUE,SOCIALE,INST MONT GOMA,inconnu
62,3322,SCIENTIFIQUE,BIO CHIMIE,INST MWANGA,inconnu
63,3334,SCIENTIFIQUE,BIO CHIMIE,INST ISIDORE BAKANJA,inconnu
